geo,time,n_ind,n_worst
IT,2020,16,4
IT,2021,16,4
IT,2022,16,5
IT,2023,16,3
IT,2024,16,4
LT,2008,16,9
LT,2009,16,12
LT,2010,16,11
LT,2011,16,12
LT,2012,16,7
LT,2013,16,5
LT,2014,16,5
LT,2015,16,5
LT,2016,16,6
LT,2017,16,3
LT,2018,16,2
LT,2019,16,2
LT,2020,16,3
LT,2021,16,7
LT,2022,16,6
LT,2023,16,4
LT,2024,16,4
LU,2008,16,0
LU,2009,16,0
LU,2010,16,1
LU,2011,16,0
LU,2012,16,0
LU,2013,16,0
LU,2014,16,1
LU,2015,16,0
LU,2016,16,2
LU,2017,16,1
LU,2018,16,1
LU,2019,16,1
LU,2020,16,1
LU,2021,16,2
LU,2022,16,0
LU,2023,16,0
LU,2024,16,0
LV,2011,16,13
LV,2012,16,9
LV,2013,16,9
LV,2014,16,7
LV,2015,16,7
LV,2016,16,5
LV,2017,16,8
LV,2018,16,7
LV,2019,16,8
LV,2020,16,4
LV,2021,16,6
LV,2022,16,10
LV,2023,16,8
LV,2024,16,7
MT,2008,16,2
MT,2009,16,2
MT,2010,16,2
MT,2011,16,2
MT,2012,16,3
MT,2013,16,2
MT,2014,16,3
MT,2015,16,2
MT,2016,16,3
MT,2017,16,0
MT,2018,16,1
MT,2019,16,2
MT,2020,16,0
MT,2021,16,1
MT,2022,16,1
MT,2023,16,1
MT,2024,16,2
NL,2008,16,0
NL,2009,16,1
NL,2010,16,0
NL,2011,16,0
NL,2012,16,0
NL,2013,16,1
NL,2014,16,2
NL,2015,16,1
NL,2016,16,0
NL,2017,16,0
NL,2018,16,0
NL,2019,16,3
NL,2020,16,0
NL,2021,16,0
NL,2022,16,2
NL,2023,16,0
NL,2024,16,0
PL,2009,16,9
PL,2010,16,7
PL,2011,16,5
PL,2012,16,7
PL,2013,16,6
PL,2014,16,5
PL,2015,16,5
PL,2016,16,5
PL,2017,16,6
PL,2018,16,5
PL,2019,16,6
PL,2020,16,8
PL,2021,16,8
PL,2022,16,7
PL,2023,16,8
PL,2024,16,8
PT,2008,16,3
PT,2009,16,4
PT,2010,16,2
PT,2011,16,2
PT,2012,16,4
PT,2013,16,3
PT,2014,16,4
PT,2015,16,5
PT,2016,16,3
PT,2017,16,4
PT,2018,16,2
PT,2019,16,2
PT,2020,16,3
PT,2021,16,2
PT,2022,16,2
PT,2023,16,4
RO,2008,16,8
RO,2009,16,12
RO,2010,16,12
RO,2011,16,10
RO,2012,16,8
RO,2013,16,10
RO,2014,16,10
RO,2015,16,8
RO,2016,16,8
RO,2017,16,7
RO,2018,16,10
RO,2019,16,9
RO,2020,16,9
RO,2021,16,10
RO,2022,16,7
RO,2023,16,9
RO,2024,16,5
SE,2008,16,0
SE,2009,16,2
SE,2010,16,0
SE,2011,16,0
SE,2012,16,0
SE,2013,16,0
SE,2014,16,1
SE,2015,16,2
SE,2016,16,2
SE,2017,16,0
SE,2018,16,2
SE,2019,16,0
SE,2020,16,0
SE,2021,16,0
SE,2022,16,0
SE,2023,16,1
SE,2024,16,1
SI,2008,16,1
SI,2009,16,0
SI,2010,16,1
SI,2011,16,0
SI,2012,16,0
SI,2013,16,3
SI,2014,16,1
SI,2015,16,3
SI,2016,16,1
SI,2017,16,2
SI,2018,16,2
SI,2019,16,2
SI,2020,16,4
SI,2021,16,2
SI,2022,16,1
SI,2023,16,1
SI,2024,16,1
SK,2008,16,1
SK,2009,16,1
SK,2010,16,2
SK,2011,16,2
SK,2012,16,4
SK,2013,16,2
SK,2014,16,1
SK,2015,16,1
SK,2016,16,2
SK,2017,16,4
SK,2018,16,5
SK,2019,16,4
SK,2020,16,5
SK,2021,16,2
SK,2022,16,2
SK,2023,16,4
SK,2024,16,1
