geo,time,real_gdp_pc,indexed_to_own_peak
ES,2014,23730,85.35971223021583
ES,2015,24720,88.92086330935251
ES,2016,25420,91.43884892086331
ES,2017,26110,93.92086330935251
ES,2018,26620,95.75539568345324
ES,2019,26930,96.87050359712231
ES,2020,23850,85.79136690647482
ES,2021,25440,91.51079136690647
ES,2022,26820,96.4748201438849
ES,2023,27150,97.66187050359713
ES,2024,27800,100.0
FI,2008,44350,100.0
FI,2009,40570,91.47688838782413
FI,2010,41660,93.93461104847802
FI,2011,42460,95.73844419391206
FI,2012,41620,93.84441939120632
FI,2013,41020,92.49154453213077
FI,2014,40650,91.65727170236754
FI,2015,40700,91.77001127395715
FI,2016,41640,93.88951521984217
FI,2017,42910,96.75310033821872
FI,2018,43360,97.76775648252537
FI,2019,43910,99.00789177001127
FI,2020,42740,96.36978579481398
FI,2021,43800,98.75986471251409
FI,2022,44010,99.23337091319053
FI,2023,43280,97.58737316798197
FI,2024,43330,97.7001127395716
FR,2008,34960,91.56626506024097
FR,2009,33800,88.52802514405448
FR,2010,34310,89.86380303823992
FR,2011,34990,91.64484023048716
FR,2012,34880,91.35673127291776
FR,2013,34990,91.64484023048716
FR,2014,35150,92.06390780513358
FR,2015,35370,92.6401257202724
FR,2016,35540,93.08538501833421
FR,2017,36140,94.65688842325825
FR,2018,36570,95.78313253012048
FR,2019,37160,97.32844421162912
FR,2020,34230,89.65426925091671
FR,2021,36460,95.49502357255108
FR,2022,37280,97.64274489261393
FR,2023,37730,98.82137244630697
FR,2024,38180,100.0
HR,2008,12400,72.68464243845251
HR,2009,11570,67.81946072684643
HR,2010,11440,67.05744431418523
HR,2011,11470,67.23329425556858
HR,2012,11270,66.0609613130129
HR,2013,11340,66.47127784290738
HR,2014,11370,66.64712778429075
HR,2015,11760,68.93317702227432
HR,2016,12320,72.21570926143025
HR,2017,12910,75.67409144196952
HR,2018,13460,78.89800703399766
HR,2019,14020,82.18053927315357
HR,2020,12980,76.08440797186401
HR,2021,14750,86.45955451348183
HR,2022,15900,93.20046893317702
HR,2023,16490,96.6588511137163
HR,2024,17060,100.0
HU,2008,11690,72.11597779148674
HU,2009,10920,67.36582356570018
HU,2010,11060,68.22948797038865
HU,2011,11300,69.71005552128315
HU,2012,11220,69.21653300431832
HU,2013,11490,70.88217149907464
HU,2014,12040,74.2751388032079
HU,2015,12530,77.29796421961753
HU,2016,12880,79.45712523133868
HU,2017,13460,83.03516347933375
HU,2018,14240,87.8470080197409
HU,2019,14980,92.41209130166564
HU,2020,14370,88.64898210980876
HU,2021,15470,95.43491671807526
HU,2022,16160,99.69154842689697
HU,2023,16050,99.01295496607032
HU,2024,16210,100.0
IE,2008,46160,50.01083423618635
IE,2009,43390,47.00975081256772
IE,2010,43920,47.5839653304442
IE,2011,44450,48.15817984832069
IE,2012,44090,47.768147345612135
IE,2013,44830,48.56988082340195
IE,2014,48700,52.76273022751896
IE,2015,60150,65.1679306608884
IE,2016,60160,65.17876489707476
IE,2017,65290,70.73672806067172
IE,2018,69310,75.09209100758396
IE,2019,71640,77.61646803900325
IE,2020,75620,81.9284940411701
IE,2021,87150,94.42036836403034
IE,2022,92300,100.0
IE,2023,87630,94.94041170097508
IE,2024,89300,96.74972914409534
IT,2008,31990,97.23404255319149
IT,2009,30110,91.51975683890578
IT,2010,30440,92.52279635258358
IT,2011,30550,92.85714285714286
IT,2012,29510,89.69604863221885
IT,2013,28920,87.90273556231003
IT,2014,28910,87.87234042553192
IT,2015,29210,88.78419452887537
IT,2016,29630,90.06079027355624
IT,2017,30160,91.67173252279635
IT,2018,30470,92.61398176291793
IT,2019,30680,93.25227963525836
IT,2020,28100,85.41033434650456
IT,2021,30760,93.49544072948328
IT,2022,32310,98.20668693009118
IT,2023,32630,99.17933130699087
IT,2024,32900,100.0
LT,2008,12640,64.19502285424073
LT,2009,10880,55.25647536820721
LT,2010,11160,56.67851701371254
LT,2011,12140,61.65566277298121
LT,2012,12830,65.15997968511935
LT,2013,13480,68.46114779075673
LT,2014,14100,71.60995429151853
LT,2015,14630,74.30167597765363
LT,2016,15200,77.19654647028949
LT,2017,16090,81.71660741493143
LT,2018,17030,86.49060436769933
LT,2019,17870,90.75672930421534
LT,2020,17890,90.85830370746572
LT,2021,19040,96.69883189436263
LT,2022,19350,98.27323514474352
LT,2023,19220,97.61300152361605
LT,2024,19690,100.0
LU,2008,106870,99.34926094636052
LU,2009,101540,94.39434786650553
LU,2010,103430,96.15134331133216
LU,2011,102120,94.93353165380682
LU,2012,101440,94.30138514455703
LU,2013,102010,94.83127265966347
LU,2014,102250,95.05438319233987
LU,2015,102530,95.31467881379567
LU,2016,104920,97.53648786836479
LU,2017,104020,96.6998233708283
LU,2018,103640,96.346565027424
LU,2019,104310,96.96941526447894
LU,2020,102190,94.99860555917077
LU,2021,107570,100.0
LU,2022,104100,96.7741935483871
LU,2023,102250,95.05438319233987
LU,2024,101000,93.89234916798364
LV,2008,12900,76.2862211709048
LV,2009,11020,65.1685393258427
LV,2010,10840,64.10408042578356
LV,2011,11380,67.29745712596097
LV,2012,12360,73.09284447072739
LV,2013,12750,75.39917208752217
LV,2014,13140,77.70549970431698
LV,2015,13750,81.31283264340627
LV,2016,14230,84.15138971023063
LV,2017,14850,87.81785925487877
LV,2018,15610,92.31224127735068
LV,2019,15820,93.55410999408635
LV,2020,15370,90.8929627439385
LV,2021,16580,98.04849201655826
LV,2022,16890,99.88172678888232
LV,2023,16770,99.17208752217623
LV,2024,16910,100.0
MT,2008,20060,58.17865429234339
MT,2009,19630,56.93155452436195
MT,2010,20750,60.17981438515081
MT,2011,20860,60.498839907192576
MT,2012,21540,62.47099767981439
MT,2013,22600,65.54524361948955
MT,2014,23840,69.1415313225058
MT,2015,25520,74.0139211136891
MT,2016,25960,75.29002320185614
MT,2017,28530,82.74361948955917
MT,2018,29510,85.58584686774942
MT,2019,29480,85.49883990719258
MT,2020,27870,80.82946635730859
MT,2021,31420,91.12529002320186
MT,2022,31390,91.03828306264501
MT,2023,33380,96.80974477958236
MT,2024,34480,100.0
NL,2008,45960,89.27738927738928
NL,2009,44050,85.56721056721057
NL,2010,44400,86.24708624708624
NL,2011,44980,87.37373737373737
NL,2012,44370,86.18881118881119
NL,2013,44230,85.91686091686091
NL,2014,44780,86.98523698523698
NL,2015,45530,88.44211344211344
NL,2016,46380,90.0932400932401
NL,2017,47390,92.05516705516706
NL,2018,48180,93.58974358974359
NL,2019,48970,95.12432012432012
NL,2020,46810,90.92851592851594
NL,2021,49490,96.13442113442113
NL,2022,51480,100.0
NL,2023,50660,98.40714840714841
NL,2024,50870,98.81507381507382
PL,2008,9570,57.9648697758934
PL,2009,9810,59.41853422168383
PL,2010,10150,61.4778921865536
PL,2011,10680,64.68806783767414
PL,2012,10840,65.65717746820108
PL,2013,10930,66.2023016353725
PL,2014,11360,68.80678376741369
PL,2015,11870,71.89582071471835
PL,2016,12240,74.13688673531193
PL,2017,12870,77.95275590551181
PL,2018,13680,82.85887341005451
PL,2019,14310,86.67474258025439
PL,2020,14310,86.67474258025439
PL,2021,15380,93.15566323440339
PL,2022,15840,95.94185342216838
PL,2023,15950,96.60811629315566
PL,2024,16510,100.0
PT,2008,19760,88.33258828788556
PT,2009,19120,85.47161376843988
PT,2010,19440,86.90210102816272
PT,2011,19110,85.42691104157353
PT,2012,18410,82.29772016092981
PT,2013,18330,81.9400983459991
PT,2014,18560,82.9682610639249
PT,2015,18920,84.5775592311131
PT,2016,19350,86.49977648636566
PT,2017,20020,89.49485918641037
PT,2018,20620,92.1770227983907
PT,2019,21150,94.54626732230666
PT,2020,19360,86.54447921323201
PT,2021,20390,91.14886008046491
PT,2022,21690,96.96021457308896
PT,2023,22130,98.92713455520787
PT,2024,22370,100.0
RO,2008,8740,66.768525592055
RO,2009,8330,63.63636363636363
RO,2010,8050,61.49732620320856
RO,2011,8460,64.62948815889992
RO,2012,8660,66.15737203972498
RO,2013,8710,66.53934300993124
RO,2014,9100,69.5187165775401
RO,2015,9430,72.03972498090145
RO,2016,9760,74.56073338426279
RO,2017,10620,81.13063407181055
RO,2018,11260,86.01986249045072
RO,2019,11760,89.83957219251337
RO,2020,11390,87.01298701298701
RO,2021,12130,92.66615737203972
RO,2022,12690,96.94423223834988
RO,2023,12970,99.08326967150497
RO,2024,13090,100.0
SE,2008,43330,88.84560180438794
SE,2009,41130,84.33463194586837
SE,2010,43130,88.43551363543162
SE,2011,44150,90.52696329710888
SE,2012,43650,89.50174287471806
SE,2013,43770,89.74779577609186
SE,2014,44330,90.89604264916957
SE,2015,45790,93.88968628255076
SE,2016,46220,94.77137584580684
SE,2017,46420,95.18146401476318
SE,2018,46700,95.75558745130203
SE,2019,47410,97.21140045109699
SE,2020,46180,94.68935821201558
SE,2021,48300,99.03629280295263
SE,2022,48390,99.22083247898298
SE,2023,47960,98.33914291572688
SE,2024,48770,100.0
SI,2008,21600,84.7723704866562
SI,2009,19770,77.59026687598116
SI,2010,19920,78.1789638932496
SI,2011,20010,78.53218210361068
SI,2012,19390,76.0989010989011
SI,2013,19210,75.39246467817897
SI,2014,19720,77.39403453689168
SI,2015,20170,79.16012558869701
SI,2016,20770,81.5149136577708
SI,2017,21830,85.67503924646782
SI,2018,22720,89.1679748822606
SI,2019,23330,91.56200941915228
SI,2020,22230,87.24489795918367
SI,2021,24040,94.34850863422292
SI,2022,24660,96.7817896389325
SI,2023,25120,98.58712715855573
SI,2024,25480,100.0
SK,2008,14030,73.41705913134484
SK,2009,13230,69.23076923076923
SK,2010,14100,73.78335949764521
SK,2011,14540,76.0858189429618
SK,2012,14750,77.1847200418629
SK,2013,14830,77.60334903192046
SK,2014,15220,79.64416535845108
SK,2015,16000,83.7257980115123
SK,2016,16280,85.19099947671376
SK,2017,16730,87.54578754578755
SK,2018,17380,90.94714809000523
SK,2019,17760,92.93563579277865
SK,2020,17270,90.37153322867609
SK,2021,18320,95.86603872318157
SK,2022,18360,96.07535321821037
SK,2023,18750,98.11616954474097
SK,2024,19110,100.0
