geo,time,subjective_poverty,arop,unemployment_rate,real_gdp_pc,severe_mat_soc_deprivation,aic_pps_pc,gdp_pps_pc,housing_cost_overburden,arrears,unexpected_expenses,real_gdp_pc_k,aic_pps_pc_k,gdp_pps_pc_k
HR,2019,35.5,18.3,6.6,14020.0,4.6,14594.1,21500.0,4.7,15.7,51.7,14.02,14.594100000000001,21.5
HR,2020,33.5,18.3,7.4,12980.0,4.4,14484.6,20200.0,4.2,14.2,48.9,12.98,14.4846,20.2
HR,2021,27.3,19.2,7.5,14750.0,3.5,16491.0,23600.0,4.5,16.6,46.5,14.75,16.491,23.6
HR,2022,26.6,18.0,6.8,15900.0,4.0,18210.2,26000.0,3.8,15.7,44.8,15.9,18.2102,26.0
HR,2023,22.0,19.3,6.1,16490.0,2.8,20127.2,29800.0,4.0,12.7,41.4,16.49,20.127200000000002,29.8
HR,2024,19.8,20.3,5.0,17060.0,2.0,21539.9,31100.0,3.7,9.4,34.9,17.06,21.539900000000003,31.1
HU,2015,46.6,14.9,6.6,12530.0,24.1,11306.4,19400.0,8.5,21.7,72.2,12.53,11.3064,19.4
HU,2016,42.8,14.5,5.0,12880.0,20.6,11637.7,19600.0,8.8,19.0,50.8,12.88,11.6377,19.6
HU,2017,41.2,13.4,4.0,13460.0,16.1,12215.7,20400.0,10.7,15.7,31.5,13.46,12.2157,20.4
HU,2018,34.7,12.8,3.6,14240.0,11.9,12790.8,21900.0,9.6,12.8,33.3,14.24,12.790799999999999,21.9
HU,2019,27.700000000000003,14.0,3.3,14980.0,10.8,13462.2,23200.0,3.9,10.9,32.9,14.98,13.462200000000001,23.2
HU,2020,27.4,13.9,4.1,14370.0,10.7,13491.7,22700.0,3.7,11.5,35.3,14.37,13.491700000000002,22.7
HU,2021,26.7,13.2,4.0,15470.0,10.5,14461.8,24800.0,2.7,11.4,34.9,15.47,14.461799999999998,24.8
HU,2022,22.0,13.5,3.6,16160.0,9.1,16292.2,27300.0,8.1,10.3,33.7,16.16,16.2922,27.3
HU,2023,22.6,13.8,4.1,16050.0,10.3,16880.1,29000.0,7.3,10.8,31.3,16.05,16.8801,29.0
HU,2024,19.799999999999997,14.3,4.5,16210.0,9.3,18552.9,30400.0,9.0,9.3,28.6,16.21,18.5529,30.4
IE,2015,31.799999999999997,16.2,9.9,60150.0,9.4,20468.9,51500.0,4.7,18.9,50.2,60.15,20.4689,51.5
IE,2016,27.4,16.8,8.4,60160.0,8.0,20883.2,50800.0,4.6,15.4,45.2,60.16,20.883200000000002,50.8
IE,2017,23.6,15.6,6.7,65290.0,6.9,21366.7,55300.0,4.5,13.0,41.6,65.29,21.3667,55.3
IE,2018,20.9,14.9,5.8,69310.0,6.1,22316.0,58700.0,3.4,11.2,37.3,69.31,22.316,58.7
IE,2019,18.5,13.4,5.0,71640.0,6.5,22173.1,60000.0,5.2,11.8,37.1,71.64,22.173099999999998,60.0
IE,2020,16.8,13.0,5.9,75620.0,6.1,20727.3,62500.0,4.2,14.6,33.4,75.62,20.7273,62.5
IE,2021,15.4,12.8,6.2,87150.0,4.8,23488.2,74700.0,2.6,13.7,29.1,87.15,23.4882,74.7
IE,2022,17.9,13.4,4.5,92300.0,5.3,27050.1,85700.0,3.7,12.9,33.1,92.3,27.050099999999997,85.7
IE,2023,16.6,12.0,4.3,87630.0,6.0,29284.4,83600.0,4.7,10.6,34.3,87.63,29.2844,83.6
IE,2024,16.9,12.7,4.3,89300.0,4.5,30622.7,88500.0,4.5,12.2,31.6,89.3,30.622700000000002,88.5
IT,2015,37.9,19.9,12.0,29210.0,12.1,19313.2,26900.0,8.6,14.9,39.9,29.21,19.313200000000002,26.9
IT,2016,33.3,20.6,11.7,29630.0,10.1,19964.8,28100.0,9.6,10.7,40.4,29.63,19.9648,28.1
IT,2017,28.1,20.3,11.3,30160.0,6.6,20577.8,28900.0,8.2,6.1,38.3,30.16,20.5778,28.9
IT,2018,30.3,20.3,10.6,30470.0,6.5,20980.8,29600.0,8.2,6.0,35.1,30.47,20.9808,29.6
IT,2019,22.9,20.1,9.9,30680.0,6.4,21406.4,30300.0,8.7,5.9,33.8,30.68,21.4064,30.3
IT,2020,23.8,20.0,9.3,28100.0,6.2,19839.6,28400.0,7.2,6.8,32.3,28.1,19.839599999999997,28.4
IT,2021,24.299999999999997,20.1,9.5,30760.0,5.9,21576.4,31800.0,7.2,7.7,32.7,30.76,21.576400000000003,31.8
IT,2022,22.3,20.1,8.1,32310.0,4.5,24554.1,35300.0,6.6,6.2,32.9,32.31,24.5541,35.3
IT,2023,18.7,18.9,7.7,32630.0,4.7,25657.3,37700.0,5.7,5.0,28.8,32.63,25.6573,37.7
IT,2024,18.7,18.9,6.5,32900.0,4.6,26638.5,39100.0,5.1,5.3,29.9,32.9,26.6385,39.1
LT,2015,28.9,22.2,9.1,14630.0,14.6,14729.4,20700.0,9.1,9.8,53.2,14.63,14.7294,20.7
LT,2016,29.6,21.9,7.9,15200.0,15.4,15341.4,21400.0,7.8,10.7,53.2,15.2,15.3414,21.4
LT,2017,28.200000000000003,22.9,7.1,16090.0,14.4,16243.5,23100.0,7.2,8.7,50.6,16.09,16.2435,23.1
LT,2018,23.4,22.9,6.2,17030.0,12.0,17087.4,24700.0,5.6,10.3,48.8,17.03,17.087400000000002,24.7
LT,2019,19.0,20.6,6.3,17870.0,9.7,17999.4,26400.0,4.8,8.2,46.8,17.87,17.9994,26.4
LT,2020,15.1,20.9,8.5,17890.0,8.1,17653.6,26400.0,2.7,7.1,41.8,17.89,17.653599999999997,26.4
LT,2021,12.9,20.0,7.1,19040.0,6.4,19590.7,29300.0,2.7,6.6,36.4,19.04,19.590700000000002,29.3
LT,2022,12.6,20.9,6.0,19350.0,6.0,21102.0,31300.0,3.5,6.0,39.3,19.35,21.102,31.3
LT,2023,13.4,20.6,6.9,19220.0,6.1,21947.9,32900.0,5.2,7.1,40.5,19.22,21.9479,32.9
LT,2024,11.4,21.5,7.1,19690.0,6.1,23259.0,34900.0,6.2,5.0,41.3,19.69,23.259,34.9
LU,2015,12.4,15.3,6.7,102530.0,2.5,32740.4,77600.0,6.0,5.2,23.0,102.53,32.7404,77.6
LU,2016,12.4,15.8,6.3,104920.0,2.0,33041.0,78500.0,7.0,6.6,21.9,104.92,33.041,78.5
LU,2017,12.6,16.4,5.5,104020.0,1.9,33906.5,78900.0,7.1,3.0,20.4,104.02,33.9065,78.9
LU,2018,12.8,16.7,5.6,103640.0,1.6,34603.1,79000.0,9.3,,19.7,103.64,34.6031,79.0
LU,2019,10.5,17.5,5.6,104310.0,1.4,34793.5,78700.0,10.1,,16.7,104.31,34.7935,78.7
LU,2020,12.4,17.4,6.8,102190.0,1.7,32429.9,77900.0,8.5,4.9,22.5,102.19,32.4299,77.9
LU,2021,10.0,18.1,5.3,107570.0,2.4,35615.9,87100.0,5.1,6.6,21.3,107.57,35.6159,87.1
LU,2022,5.8,17.3,4.6,104100.0,2.0,39260.1,90400.0,9.0,7.2,18.8,104.1,39.2601,90.4
LU,2023,6.1,18.8,5.2,102250.0,2.5,41830.6,95100.0,11.5,8.7,24.1,102.25,41.8306,95.1
LU,2024,8.5,18.1,6.4,101000.0,2.3,43699.3,97700.0,8.0,8.5,22.5,101.0,43.6993,97.7
LV,2015,42.7,22.5,9.9,13750.0,15.4,11643.3,17400.0,8.1,18.0,60.4,13.75,11.6433,17.4
LV,2016,39.3,21.8,9.7,14230.0,12.6,12193.4,17900.0,7.0,14.9,60.0,14.23,12.1934,17.9
LV,2017,40.5,22.1,8.7,14850.0,12.9,12881.1,19000.0,6.9,14.0,59.9,14.85,12.8811,19.0
LV,2018,32.1,23.3,7.4,15610.0,10.4,13535.4,20200.0,6.7,13.8,55.3,15.61,13.5354,20.2
LV,2019,25.0,22.9,6.3,15820.0,7.5,13933.3,20900.0,5.4,9.9,49.8,15.82,13.9333,20.9
LV,2020,24.2,21.6,8.1,15370.0,7.0,13576.0,20900.0,4.8,9.7,45.6,15.37,13.576,20.9
LV,2021,20.1,23.4,7.6,16580.0,5.3,15658.9,23500.0,4.9,7.2,41.7,16.58,15.6589,23.5
LV,2022,23.9,22.5,6.9,16890.0,7.8,17327.4,24900.0,5.4,6.9,44.1,16.89,17.3274,24.9
LV,2023,24.0,22.5,6.5,16770.0,6.2,18304.1,26800.0,7.2,7.9,44.8,16.77,18.3041,26.8
LV,2024,23.299999999999997,21.6,6.9,16910.0,5.3,19157.8,27500.0,6.7,7.5,45.3,16.91,19.157799999999998,27.5
MT,2015,21.6,16.6,5.4,25520.0,8.2,16230.4,27600.0,1.1,10.9,21.4,25.52,16.2304,27.6
MT,2016,19.9,16.5,4.7,25960.0,5.2,16494.2,28500.0,1.4,10.4,20.8,25.96,16.4942,28.5
MT,2017,16.1,16.7,4.0,28530.0,4.3,17037.5,31400.0,1.4,6.5,15.6,28.53,17.0375,31.4
MT,2018,14.1,16.8,4.0,29510.0,4.7,18006.3,32600.0,1.7,8.1,13.9,29.51,18.0063,32.6
MT,2019,12.3,17.1,4.1,29480.0,5.0,18707.2,33400.0,2.6,7.8,15.1,29.48,18.7072,33.4
MT,2020,15.4,16.9,4.9,27870.0,5.1,17380.8,31900.0,2.8,7.0,16.3,27.87,17.3808,31.9
