geo,time,price_level,category,wage_level_vs_eu,wage_adjusted_pressure
MT,2024,112.6,A0101,75.45286175431241,149.2322456458247
NL,2024,98.4,A0101,134.4587717803899,73.18228383099891
PL,2024,86.8,A0101,54.75117174020347,158.53541986620766
PT,2024,102.2,A0101,67.3574801361097,151.72776623098696
RO,2024,77.9,A0101,48.02955449847772,162.19180213813772
SE,2024,105.8,A0101,113.26217714353108,93.41158952465247
SI,2024,99.8,A0101,86.00179965317365,116.04408326624728
SK,2024,83.6,A0101,58.16789191597542,143.72190094281177
AT,2024,112.5,A0104,131.91261198691322,85.28373315142974
BE,2024,134.0,A0104,156.5827119724985,85.57777439921668
BG,2024,38.5,A0104,38.94611087086614,98.85454321139969
CY,2024,88.9,A0104,73.45664452044923,121.02376930006865
CZ,2024,105.0,A0104,65.06183031716704,161.38494642425545
DE,2024,115.8,A0104,121.6687851904269,95.1764249299921
DK,2024,170.3,A0104,145.45762297266015,117.0787728546954
EE,2024,99.1,A0104,72.4124525516199,136.8549144628897
EL,2024,73.5,A0104,48.29884726098903,152.1775449480881
ES,2024,98.4,A0104,88.48484054286625,111.20548943333449
FI,2024,127.6,A0104,118.03475252584818,108.10375526653233
FR,2024,123.3,A0104,120.96748830443842,101.92821371118441
HR,2024,43.8,A0104,58.05847125578226,75.44118722491818
HU,2024,64.3,A0104,44.20769395412632,145.44979447858822
IE,2024,187.2,A0104,144.65127351670574,129.41469193382548
IT,2024,91.8,A0104,92.63845753997894,99.09491418332705
LT,2024,60.2,A0104,64.38477633193992,93.50036364129771
LU,2024,179.5,A0104,194.10569904731952,92.47538886338474
LV,2024,56.2,A0104,58.3131309160322,96.3762348499603
MT,2024,74.6,A0104,75.45286175431241,98.8696760673048
NL,2024,132.1,A0104,134.4587717803899,98.24572859832273
PL,2024,50.1,A0104,54.75117174020347,91.50489095964289
PT,2024,80.7,A0104,67.3574801361097,119.80851991037815
RO,2024,50.2,A0104,48.02955449847772,104.51897904152133
SE,2024,115.9,A0104,113.26217714353108,102.32895298589057
SI,2024,76.2,A0104,86.00179965317365,88.60279704296637
SK,2024,79.3,A0104,58.16789191597542,136.32950651632743
AT,2024,110.2,A0107,131.91261198691322,83.54015460700052
BE,2024,109.2,A0107,156.5827119724985,69.73949973428702
BG,2024,68.9,A0107,38.94611087086614,176.9111175913101
CY,2024,87.6,A0107,73.45664452044923,119.25401789298104
CZ,2024,83.1,A0107,65.06183031716704,127.72465759862501
DE,2024,109.6,A0107,121.6687851904269,90.08062324980253
DK,2024,124.9,A0107,145.45762297266015,85.86693323283296
EE,2024,94.6,A0107,72.4124525516199,130.64051370524083
EL,2024,89.7,A0107,48.29884726098903,185.71871812031978
ES,2024,88.5,A0107,88.48484054286625,100.01713226473682
FI,2024,112.7,A0107,118.03475252584818,95.48035437725856
FR,2024,109.2,A0107,120.96748830443842,90.27218927219252
HR,2024,84.0,A0107,58.05847125578226,144.68172892450062
HU,2024,81.0,A0107,44.20769395412632,183.22602414876587
IE,2024,109.1,A0107,144.65127351670574,75.42277184818568
IT,2024,95.9,A0107,92.63845753997894,103.52072189739721
LT,2024,81.0,A0107,64.38477633193992,125.80613712533412
LU,2024,97.3,A0107,194.10569904731952,50.12732777942805
LV,2024,83.0,A0107,58.3131309160322,142.33500876417625
MT,2024,81.1,A0107,75.45286175431241,107.48432612678846
NL,2024,114.4,A0107,134.4587717803899,85.08184217750279
PL,2024,78.6,A0107,54.75117174020347,143.5585714456673
PT,2024,88.3,A0107,67.3574801361097,131.09160233068638
RO,2024,78.3,A0107,48.02955449847772,163.02462268826935
SE,2024,112.0,A0107,113.26217714353108,98.88561461966991
SI,2024,87.4,A0107,86.00179965317365,101.62578033537088
SK,2024,85.5,A0107,58.16789191597542,146.98830778242112
AT,2024,109.6,A0111,131.91261198691322,83.08530803019289
BE,2024,123.1,A0111,156.5827119724985,78.61659722793712
BG,2024,55.0,A0111,38.94611087086614,141.22077601628527
CY,2024,89.4,A0111,73.45664452044923,121.70444291817928
CZ,2024,73.5,A0111,65.06183031716704,112.9694624969788
DE,2024,110.7,A0111,121.6687851904269,90.98471709628778
DK,2024,149.1,A0111,145.45762297266015,102.50408122510325
EE,2024,98.1,A0111,72.4124525516199,135.4739365167455
EL,2024,86.6,A0111,48.29884726098903,179.30034547625075
ES,2024,84.1,A0111,88.48484054286625,95.0445290786934
FI,2024,125.6,A0111,118.03475252584818,106.40933903978417
