geo,time,subjective_poverty_employed,arop_employed,arope_employed,subjective_poverty_population_status_table,weekly_actual_hours,weekly_hours_eu100,hourly_compensation_eur,hourly_compensation_nac,hourly_compensation_pps,hourly_comp_pps_eu100,hicp,real_hourly_comp_idx2008,real_hourly_shortfall,cum_real_hourly_shortfall,years_hourly_pay_below_2008,employee_weekly_hours,employee_weekly_hours_eu100,annual_hours_per_employee,annual_employee_hours_eu100,work_effort_squeeze,employee_lfs_effort_squeeze,matched_employee_effort_squeeze,low_hourly_reward_eu,employed_subjective_minus_arop,employed_subjective_minus_arope
HR,2018,33.1,5.2,6.6,43.3,38.7,104.87804878048782,8.9,8.8,13.5,57.20338983050847,102.23,95.17729931176734,4.822700688232658,74.3740752337899,9.0,38.6,107.22222222222223,2002.6778121024895,128.8821606704867,183.34236675700095,187.44032921810702,225.30511050544345,42.79661016949153,27.900000000000002,26.5
HR,2019,26.2,5.1,6.4,36.2,38.6,104.8913043478261,9.1,8.9,13.8,57.02479338842976,103.04,95.50216624491986,4.497833755080137,78.87190898887003,10.0,38.4,106.96378830083566,1992.1635957366307,128.41714494601513,183.93982356647763,187.5741794840741,225.19528316620043,42.97520661157024,21.1,19.799999999999997
HR,2020,24.7,5.1,6.0,34.1,38.2,105.52486187845304,9.1,9.1,14.2,55.90551181102362,103.06,97.6293325475032,2.3706674524968037,81.24257644136684,11.0,38.1,107.32394366197182,1975.744690098809,133.95708109758965,188.75573885300753,191.9738147193017,239.61337041399838,44.09448818897638,19.6,18.7
HR,2021,18.2,4.9,5.3,27.6,38.1,104.67032967032968,9.7,9.7,15.2,59.375,105.82,101.35216801883469,0.0,81.24257644136684,11.0,38.1,107.02247191011236,1977.4908705892524,129.37666317488097,176.28687102371316,180.24837374334714,217.8975379787469,40.625,13.299999999999999,12.899999999999999
HR,2022,17.2,4.7,5.6,27.4,38.0,104.3956043956044,10.9,10.9,16.2,60.90225563909774,117.11,102.91094897590217,0.0,81.24257644136684,11.0,37.9,106.46067415730337,1965.0900375421552,127.48792434531889,171.41500474833808,174.80579830767098,209.33202392502977,39.09774436090226,12.5,11.6
HR,2023,13.8,6.2,6.6,22.5,38.1,105.54016620498615,12.4,12.4,18.0,63.829787234042556,126.94,108.00708801864204,0.0,81.24257644136684,11.0,37.9,107.36543909348443,1971.0291509643096,127.67078434527853,165.3462603878116,168.20585457979226,200.01756214093638,36.170212765957444,7.6000000000000005,7.200000000000001
HR,2024,12.5,8.3,8.7,20.8,37.8,104.99999999999999,13.6,13.6,19.1,64.52702702702703,132.04,113.88393341336894,0.0,81.24257644136684,11.0,37.6,106.51558073654392,1951.673758772816,126.13020982833139,162.7225130890052,165.07126648176438,195.46880685437742,35.47297297297297,4.199999999999999,3.8000000000000007
HR,2025,12.3,7.9,8.3,20.2,,,,,,,,,,,,,,,,,,,,4.4,4.0
HU,2005,,8.7,,,,,,,,,,,,,,,,,,,,,,,
HU,2006,,6.8,,,,,,,,,,,,,,,,,,,,,,,
HU,2007,,5.8,,,,,,,,,,,,,,,,,,,,,,,
HU,2008,,5.8,,,40.1,105.8047493403694,7.9,1986.2,11.8,61.458333333333336,82.12,100.0,0.0,0.0,0.0,39.7,107.88043478260872,1704.1117279190826,106.76028702031418,172.15688028263494,175.53426676492265,173.7116534567824,38.541666666666664,,
