geo,time,subjective_poverty,arop,unemployment_rate,real_gdp_pc,severe_mat_soc_deprivation,aic_pps_pc,gdp_pps_pc,housing_cost_overburden,arrears,unexpected_expenses,real_gdp_pc_k,aic_pps_pc_k,gdp_pps_pc_k,debt_to_income,arop_before_transfers,transfer_effect,pct_below_peak,ltu_rate,cum_gdp_shortfall_2008base,cum_gdp_shortfall_ownpeak,cum_wage_shortfall_2008base,cum_wage_shortfall_ownpeak,cum_excess_unemployment,cum_excess_ltu,cum_threshold_shortfall,gdp_years_below_2008,gdp_years_below_peak,gdp_longest_streak_2008,gdp_longest_streak_peak,gdp_cum_negative_years,wage_years_below_2008,wage_years_below_peak,wage_longest_streak_2008,wage_longest_streak_peak,wage_cum_negative_years,slope5_real_wage,slope5_real_gdp,slope5_unemployment,years_worst_quintile_unemp,years_worst_quintile_wage,share_worst_unemployment,share_worst_ltu,share_worst_real_wage,share_worst_real_gdp,share_worst_threshold,share_worst_composite
BG,2023,33.2,20.6,4.3,10950.0,18.0,16312.1,24300.0,11.1,18.8,46.7,10.95,16.3121,24.3,,45.3,24.699999999999996,0.0,2.3,3.516174402250357,5.692340205359159,0.0,0.0,26.6,23.2,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.23243309611305,389.9999999999574,-0.3699999999999404,0.0,0.0,0.0,0.26666666666666666,0.0,1.0,0.0,0.5
BG,2024,37.4,21.7,4.2,11330.0,16.6,17891.3,26300.0,8.0,18.7,45.6,11.33,17.891299999999998,26.3,,46.1,24.4,0.0,2.2,3.516174402250357,5.692340205359159,0.0,0.0,26.6,23.2,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.576196778450404,447.9999999999521,-0.4699999999999678,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.5
CY,2015,58.8,16.2,15.0,21140.0,7.9,16985.7,22600.0,3.9,31.6,60.5,21.14,16.9857,22.6,186.56,38.8,22.6,15.910898965791567,6.8,79.47494033412889,79.47494033412889,19.424501155521952,46.81217485936125,40.7,23.5,0.0,7.0,7.0,7.0,7.0,6.0,3.0,6.0,3.0,6.0,5.0,-2.91554107495789,-629.0000000000442,1.840000000000138,3.0,1.0,0.42857142857142855,0.0,0.125,0.0,0.0,0.43478260869565216
CY,2016,59.8,16.1,13.0,22410.0,6.6,17860.7,24500.0,3.1,26.6,56.6,22.41,17.8607,24.5,174.51,38.3,22.199999999999996,10.859188544152744,5.8,90.33412887828165,90.33412887828165,26.556663002164825,59.32095092906336,48.3,28.700000000000003,0.0,8.0,8.0,8.0,8.0,6.0,4.0,7.0,4.0,7.0,5.0,-1.9928496988426092,57.000000000162814,0.1299999999997049,4.0,2.0,0.5,0.0,0.2222222222222222,0.0,0.0,0.43478260869565216
CY,2017,43.599999999999994,15.7,11.1,23500.0,6.1,18817.7,25900.0,2.8,24.8,50.1,23.5,18.8177,25.9,159.37,37.5,21.8,6.523468575974543,4.5,96.85759745425618,96.85759745425618,32.88723119278919,71.02813334274695,54.0,32.6,0.0,9.0,9.0,9.0,9.0,6.0,5.0,8.0,5.0,8.0,5.0,-0.3386026534254789,725.9999999998507,-1.269999999999754,5.0,3.0,0.5555555555555556,0.0,0.3,0.0,0.0,0.43478260869565216
CY,2018,46.4,15.4,8.4,24690.0,3.8,19647.8,27300.0,2.0,21.6,49.5,24.69,19.6478,27.3,142.78,36.9,21.5,1.7899761336515514,2.7,98.64757358790771,98.64757358790771,38.209302046599745,81.72681841961675,57.0,34.7,0.0,10.0,10.0,10.0,10.0,6.0,6.0,9.0,6.0,9.0,5.0,0.5669132209709097,1075.999999999767,-1.9299999999995636,6.0,4.0,0.6,0.0,0.36363636363636365,0.0,0.0,0.375
CY,2019,36.3,15.1,7.2,25790.0,3.1,20649.1,28900.0,2.2,17.2,46.7,25.79,20.649099999999997,28.9,127.78,35.7,20.6,0.0,2.2,98.64757358790771,98.64757358790771,38.840101872549624,87.73423246862586,58.8,36.3,0.0,0.0,0.0,10.0,10.0,6.0,7.0,10.0,7.0,10.0,5.0,1.5374904092169626,1157.9999999999811,-2.0199999999999703,7.0,4.0,0.6363636363636364,0.0,0.3333333333333333,0.0,0.0,0.2608695652173913
CY,2020,26.7,14.8,7.6,24630.0,3.3,19596.4,27200.0,1.9,15.4,43.7,24.63,19.596400000000003,27.2,125.1,36.9,22.1,4.497867390461419,2.2,100.67621320604616,103.14544097836917,38.840101872549624,92.08697334424294,61.0,37.9,0.0,1.0,1.0,10.0,10.0,7.0,0.0,11.0,7.0,11.0,5.0,2.2011838752844453,672.9999999999452,-1.4699999999998925,7.0,4.0,0.5833333333333334,0.0,0.3076923076923077,0.0,0.0,0.21739130434782608
CY,2021,26.1,13.7,7.2,27030.0,2.4,20565.0,30400.0,2.4,17.3,42.1,27.03,20.565,30.4,119.52,36.7,23.000000000000004,0.0,2.5,100.67621320604616,103.14544097836917,38.840101872549624,94.1666735954078,62.8,39.8,0.0,0.0,0.0,10.0,10.0,7.0,0.0,12.0,7.0,12.0,5.0,2.560090852629464,700.0000000001155,-0.8600000000000791,7.0,4.0,0.5384615384615384,0.0,0.2857142857142857,0.0,0.0,0.25
CY,2022,29.6,14.7,6.3,28850.0,2.7,23490.7,34500.0,2.6,13.9,40.3,28.85,23.4907,34.5,112.64,35.4,20.7,0.0,2.1,100.67621320604616,103.14544097836917,38.840101872549624,97.01821287839496,63.7,41.3,0.0,0.0,0.0,10.0,10.0,7.0,0.0,13.0,7.0,13.0,6.0,1.9622005385613697,956.000000000316,-0.420000000000092,7.0,4.0,0.5,0.0,0.26666666666666666,0.0,0.0,0.20833333333333334
