geo,geo_label,subjective_poverty,arope,gap,group,time,subjective_poverty_y,arop,unemployment_rate,real_gdp_pc,severe_mat_soc_deprivation,aic_pps_pc,gdp_pps_pc,housing_cost_overburden,arrears,unexpected_expenses,real_gdp_pc_k,aic_pps_pc_k,gdp_pps_pc_k,pct_below_peak,d_subjective_poverty,d2_subjective_poverty,d_arop,d2_arop,d_unemployment_rate,d2_unemployment_rate,d_real_gdp_pc,d2_real_gdp_pc,d_severe_mat_soc_deprivation,d2_severe_mat_soc_deprivation,d_aic_pps_pc,d2_aic_pps_pc,d_housing_cost_overburden,d2_housing_cost_overburden,d_arrears,d2_arrears,d_unexpected_expenses,d2_unexpected_expenses,fin_expectations
HR,Croatia,19.1,20.7,-1.599999999999998,near_zero_gap,2024,19.8,20.3,5.0,17060.0,2.0,21539.9,31100.0,3.7,9.4,34.9,17.06,21.539900000000003,31.1,0.0,-2.1999999999999993,2.400000000000002,1.0,-0.3000000000000007,-1.0999999999999996,-0.3999999999999994,570.0,-20.0,-0.7999999999999998,0.4000000000000003,1412.7000000000007,-504.2999999999993,-0.2999999999999998,-0.5,-3.299999999999999,-0.2999999999999989,-6.5,-3.1000000000000014,1.366666666666667
CY,Cyprus,18.200000000000003,17.1,1.1000000000000014,near_zero_gap,2024,20.8,14.6,4.8,29950.0,2.5,26819.7,39500.0,2.4,12.5,34.8,29.95,26.8197,39.5,0.0,-3.400000000000002,1.9999999999999964,-0.3000000000000007,-0.5000000000000018,-1.0,-0.5,630.0,160.0,0.1,0.4000000000000003,1177.4000000000017,-974.1999999999972,-0.2000000000000001,-0.2000000000000001,-1.4000000000000004,-1.4000000000000004,-2.700000000000003,0.0999999999999943,-13.033333333333331
IE,Ireland,15.9,18.8,-2.9000000000000004,other,2024,16.9,12.7,4.3,89300.0,4.5,30622.7,88500.0,4.5,12.2,31.6,89.3,30.6227,88.5,3.2502708559046587,0.2999999999999971,1.5999999999999943,0.6999999999999993,2.0999999999999996,0.0,0.2000000000000001,1670.0,6340.0,-1.5,-2.2,1338.2999999999993,-896.0000000000036,-0.2000000000000001,-1.2000000000000002,1.5999999999999996,3.9,-2.6999999999999957,-3.899999999999991,3.608333333333333
BE,Belgium,15.5,16.5,-1.0,near_zero_gap,2024,17.1,11.4,5.7,44410.0,6.2,31479.6,46600.0,6.7,5.0,21.6,44.41,31.4796,46.6,0.0,1.6000000000000014,2.8000000000000007,-1.0,-0.3000000000000007,0.2000000000000001,0.2999999999999998,220.0,-80.0,0.1000000000000005,-0.2999999999999989,1141.5999999999983,-799.5,-1.0999999999999996,-1.3999999999999997,0.2999999999999998,-0.2000000000000001,0.0,1.099999999999998,-1.0333333333333334
SI,Slovenia,15.3,15.5,-0.1999999999999993,near_zero_gap,2024,13.6,13.2,3.7,25480.0,1.8,23355.4,36100.0,3.8,7.5,23.2,25.48,23.355400000000003,36.1,0.0,-0.9000000000000004,-1.200000000000001,0.5,-0.0999999999999996,0.0,0.2999999999999998,360.0,-100.0,-0.1999999999999999,-0.8,1208.2000000000007,377.90000000000146,0.0999999999999996,0.4999999999999991,0.2000000000000001,0.3000000000000007,0.5,2.400000000000002,-16.691666666666666
MT,Malta,15.1,19.4,-4.299999999999999,other,2024,17.3,16.9,3.2,34480.0,4.3,24129.1,43900.0,5.9,5.9,18.3,34.48,24.1291,43.9,0.0,0.6999999999999993,5.4999999999999964,0.2999999999999971,0.399999999999995,-0.2999999999999998,-0.2999999999999998,1100.0,-890.0,0.2000000000000001,1.0000000000000009,1074.2999999999993,-1651.7000000000007,-0.0999999999999996,-3.1999999999999997,0.2000000000000001,0.5999999999999996,2.4000000000000004,1.9000000000000004,-1.0333333333333334
CZ,Czechia,13.8,11.5,2.3000000000000007,other,2024,14.2,9.5,2.6,21950.0,2.6,21409.1,36200.0,9.2,3.4,19.2,21.95,21.4091,36.2,0.4535147392290249,0.7999999999999989,-0.3000000000000007,-0.3000000000000007,0.0999999999999978,0.0,-0.3999999999999999,270.0,500.0,-0.1,-0.7000000000000002,915.8999999999978,-159.3000000000029,0.0999999999999996,-2.0999999999999996,0.5,0.3000000000000002,-0.5,-2.6999999999999993,-2.5
EE,Estonia,13.4,21.8,-8.4,other,2024,9.9,20.2,7.6,21060.0,3.1,20716.4,31600.0,8.6,7.1,34.7,21.06,20.7164,31.6,7.101896779885311,-1.6999999999999993,-3.799999999999999,-2.3000000000000007,-2.0,1.1999999999999993,0.3999999999999986,-150.0,1010.0,0.6000000000000001,1.4,719.2000000000007,-123.20000000000071,1.0,-1.6999999999999993,1.2999999999999998,1.2999999999999998,4.300000000000004,5.100000000000005,-25.816666666666663
DK,Denmark,12.0,17.9,-5.899999999999999,other,2024,12.8,11.6,6.2,58670.0,4.0,30354.4,50800.0,14.6,6.9,21.1,58.67,30.3544,50.8,0.0,-0.3999999999999986,-3.299999999999997,-0.200000000000001,0.3999999999999986,1.1000000000000003,0.5000000000000009,1900.0,1660.0,-0.9000000000000004,-2.6000000000000005,978.7000000000008,278.2000000000007,-0.8000000000000007,-1.5000000000000018,-0.8999999999999995,-1.9999999999999991,-2.0,-4.900000000000002,2.841666666666667
LT,Lithuania,11.8,26.3,-14.5,other,2024,11.4,21.5,7.1,19690.0,6.1,23259.0,34900.0,6.2,5.0,41.3,19.69,23.259,34.9,0.0,-2.0,-2.8000000000000007,0.8999999999999986,1.1999999999999955,0.1999999999999993,-0.7000000000000011,470.0,600.0,0.0,-0.0999999999999996,1311.0999999999983,465.1999999999971,1.0,-0.7000000000000002,-2.0999999999999996,-3.1999999999999993,0.7999999999999972,-0.4000000000000057,10.266666666666667
