,aic_pps_pc,gdp_pps_pc,real_gdp_pc,consumption_pc,hourly_comp,saving_rate,unemployment_rate,ltu_rate,youth_unemployment,employment_rate,working_hours,real_wages_idx,real_income_idx,arop_threshold_real,pct_below_peak,hicp,hicp_food,hicp_housing,wadj_a01,work_effort_squeeze,severe_mat_soc_deprivation,housing_cost_overburden,debt_to_income,s80s20,net_migration,arrears,unexpected_expenses,warm,arop,arop_before_transfers,transfer_effect,subjective_poverty,arope,gap_subj_arop,gap_subj_arope
debt_to_income,0.7655,0.6305,0.7247,0.8098,0.6654,0.388,-0.0158,-0.2183,-0.0791,0.3259,-0.6947,-0.1942,-0.3296,-0.4128,0.0275,-0.5674,-0.5658,-0.4093,-0.6239,-0.6729,-0.5045,0.0727,1.0,-0.4027,-0.3178,-0.2497,-0.5783,-0.3026,-0.4147,-0.1916,0.2368,-0.4146,-0.4368,-0.335,-0.2911
s80s20,-0.38,-0.3289,-0.3621,-0.4031,-0.445,-0.6861,0.3649,0.3636,0.3833,-0.4025,0.4117,0.3861,0.1267,0.4086,0.1398,0.1333,0.3253,0.1133,0.4979,0.5225,0.7023,0.2625,-0.4027,1.0,0.2637,0.415,0.647,0.7236,0.9315,0.4196,-0.5412,0.4908,0.9134,0.2702,0.1468
net_migration,-0.1059,-0.0991,-0.1237,-0.1709,-0.1065,-0.2164,0.1556,0.1496,0.1928,-0.4104,0.2315,-0.0705,-0.0048,0.1464,0.0648,0.1453,0.1284,-0.0302,0.0677,0.2024,0.1163,0.0564,-0.3178,0.2637,1.0,0.1813,0.4067,-0.0471,0.409,0.2695,-0.1644,0.1849,0.2514,0.0852,0.1016
arrears,-0.4164,-0.3304,-0.3347,-0.311,-0.4609,-0.656,0.622,0.7274,0.5482,-0.5975,0.5729,-0.0093,-0.2586,0.018,0.7441,-0.2051,0.0033,-0.256,0.5711,0.5543,0.6009,0.6717,-0.2497,0.415,0.1813,1.0,0.6704,0.6129,0.378,0.3999,-0.0224,0.9101,0.5602,0.8878,0.8377
unexpected_expenses,-0.6246,-0.4969,-0.549,-0.5837,-0.6316,-0.6924,0.4432,0.5059,0.4292,-0.4976,0.6221,0.0611,-0.029,0.3813,0.2827,0.154,0.237,0.0959,0.6665,0.6793,0.6267,0.2084,-0.5783,0.647,0.4067,0.6704,1.0,0.6385,0.6321,0.2732,-0.3772,0.7431,0.6924,0.6321,0.5666
warm,-0.4396,-0.4273,-0.4584,-0.4154,-0.5193,-0.6881,0.4408,0.5313,0.4127,-0.3803,0.5245,0.3448,-0.062,0.2616,0.3288,-0.0991,0.1477,-0.0934,0.5788,0.5719,0.6258,0.3266,-0.3026,0.7236,-0.0471,0.6129,0.6385,1.0,0.5629,0.2592,-0.3222,0.7148,0.6572,0.621,0.5495
arop,-0.3684,-0.307,-0.3452,-0.3988,-0.4324,-0.6366,0.4149,0.3927,0.4559,-0.4554,0.4119,0.2794,0.1036,0.3962,0.153,0.1514,0.3333,0.1112,0.4495,0.4934,0.5868,0.1783,-0.4147,0.9315,0.409,0.378,0.6321,0.5629,1.0,0.4055,-0.6195,0.4462,0.8818,0.2018,0.1079
arop_before_transfers,0.0534,-0.0416,0.0028,0.096,0.051,-0.3431,0.5402,0.5111,0.6362,-0.6579,0.1211,-0.1992,-0.242,-0.1844,0.4205,-0.1617,-0.0409,-0.2551,0.0285,0.0697,0.458,0.4711,-0.1916,0.4196,0.2695,0.3999,0.2732,0.2592,0.4055,1.0,0.4663,0.363,0.5277,0.2811,0.1824
transfer_effect,0.4024,0.2613,0.3366,0.4684,0.4623,0.3214,0.0624,0.0588,0.1052,-0.1242,-0.2947,-0.4414,-0.308,-0.5457,0.2131,-0.2854,-0.3577,-0.3267,-0.4106,-0.4176,-0.1746,0.232,0.2368,-0.5412,-0.1644,-0.0224,-0.3772,-0.3222,-0.6195,0.4663,1.0,-0.1201,-0.4003,0.0461,0.0522
subjective_poverty,-0.5865,-0.49,-0.5208,-0.5066,-0.6071,-0.6971,0.6059,0.7877,0.6008,-0.6699,0.7003,0.0055,-0.1971,0.0952,0.6446,-0.0468,0.1586,-0.1792,0.7094,0.6983,0.679,0.5726,-0.4146,0.4908,0.1849,0.9101,0.7431,0.7148,0.4462,0.363,-0.1201,1.0,0.6167,0.9666,0.9197
arope,-0.4235,-0.3338,-0.3685,-0.4259,-0.4334,-0.7558,0.3966,0.4411,0.4664,-0.5674,0.4606,0.2756,0.1529,0.4418,0.2192,0.1453,0.3206,0.1002,0.5385,0.5494,0.8788,0.3641,-0.4368,0.9134,0.2514,0.5602,0.6924,0.6572,0.8818,0.5277,-0.4003,0.6167,1.0,0.4223,0.2582
gap_subj_arop,-0.5363,-0.4483,-0.4711,-0.4402,-0.5405,-0.5805,0.5443,0.7495,0.5269,-0.6026,0.6484,-0.074,-0.2454,-0.01,0.6616,-0.0947,0.0781,-0.2279,0.6476,0.6228,0.575,0.5756,-0.335,0.2702,0.0852,0.8878,0.6321,0.621,0.2018,0.2811,0.0461,0.9666,0.4223,1.0,0.9757
gap_subj_arope,-0.5086,-0.4349,-0.4554,-0.4093,-0.5289,-0.4786,0.5458,0.7468,0.5048,-0.5391,0.6298,-0.1307,-0.3181,-0.1078,0.6818,-0.13,0.0347,-0.2698,0.6021,0.583,0.3951,0.5212,-0.2911,0.1468,0.1016,0.8377,0.5666,0.5495,0.1079,0.1824,0.0522,0.9197,0.2582,0.9757,1.0
