geo,time,nominal_comp,wage_level_vs_eu
NL,2007,39294.5,133.18047633088966
NL,2008,40888.4,133.33985546946337
NL,2009,41905.3,136.1321907038996
NL,2010,42200.0,132.54767947332715
NL,2011,43012.9,131.87992101842084
NL,2012,43868.2,132.40112516901678
NL,2013,44682.0,132.92833852964276
NL,2014,45444.2,133.78493351114722
NL,2015,45366.5,131.65890833952452
NL,2016,46253.0,132.3204206515178
NL,2017,46660.3,130.55264880835801
NL,2018,47709.8,130.23615126128414
NL,2019,49175.8,131.12847314809878
NL,2020,51200.9,136.67204091547305
NL,2021,52606.6,134.35954803645132
NL,2022,54528.7,132.84195498906152
NL,2023,57757.4,132.79669648748882
NL,2024,61564.1,134.4587717803899
PL,2000,7292.0,29.787094982108133
PL,2001,8757.2,34.580088768144556
PL,2002,8544.7,32.804299836836556
PL,2003,7615.3,28.553270467370314
PL,2004,7591.2,27.831774535935445
PL,2005,8726.5,31.185896748647355
PL,2006,9230.4,32.19420320184158
PL,2007,10023.0,33.970858880110626
PL,2008,11693.7,38.133951631838464
PL,2009,9811.1,31.872019439427213
PL,2010,11629.4,36.52725079779883
PL,2011,11900.2,36.48666879246486
PL,2012,12102.2,36.526342476337646
PL,2013,12253.8,36.45488730751838
PL,2014,12568.1,36.99971443795797
PL,2015,12869.5,37.34879968424963
PL,2016,12932.9,36.99839509316183
PL,2017,13995.0,39.15714901260751
PL,2018,15048.1,41.077653391859315
PL,2019,15752.0,42.00309316836435
PL,2020,15986.0,42.671891433055904
PL,2021,16294.6,41.61711822156839
PL,2022,17827.8,43.43180389692017
PL,2023,21036.4,48.36721227045209
PL,2024,25068.7,54.75117174020347
PT,2000,15345.3,62.68402477083708
PT,2001,15986.0,63.12489140907583
PT,2002,16555.6,63.55926672425376
PT,2003,17081.3,64.04566843516244
PT,2004,17639.8,64.67316583135657
PT,2005,18468.4,66.00052890766274
PT,2006,18808.0,65.59938613930453
PT,2007,19456.1,65.94237528258209
PT,2008,19966.8,65.11309384049464
PT,2009,20445.2,66.41760983406319
PT,2010,20955.5,65.81997386737694
PT,2011,20587.6,63.12271578895729
PT,2012,19967.1,60.26384730538921
PT,2013,20669.1,61.490289644667634
PT,2014,20281.0,59.70601829363432
PT,2015,20324.9,58.98524563521546
PT,2016,20551.9,58.79480364923202
PT,2017,20985.3,58.71557836186298
PT,2018,21893.9,59.76502253414243
PT,2019,23039.3,61.434856807636926
PT,2020,23460.6,62.624057059574085
PT,2021,24841.1,63.445251522209965
PT,2022,26225.8,63.89087843928298
PT,2023,28683.5,65.94954142151283
PT,2024,30840.7,67.3574801361097
RO,2000,2720.1,11.111338050031861
RO,2001,3235.3,12.775426071298826
RO,2002,3135.2,12.03647183031001
RO,2003,3325.4,12.468457659211488
RO,2004,3619.3,13.269514909093576
RO,2005,5134.1,18.347735346041414
RO,2006,5930.8,20.685710299605873
RO,2007,6726.8,22.799079468694817
RO,2008,8310.9,27.10241058151366
RO,2009,6958.3,22.604506412672013
RO,2010,7406.1,23.26211774756891
RO,2011,7471.0,22.90649758394859
RO,2012,7323.9,22.104681765501255
RO,2013,7747.3,23.0481114786872
RO,2014,8187.8,24.10438028620971
RO,2015,8335.8,24.191470096582464
RO,2016,9527.5,27.256238681973834
RO,2017,10757.3,30.09826359937998
RO,2018,11936.8,32.584561041456816
RO,2019,12985.2,34.62535331448989
RO,2020,13247.1,35.36086657092674
RO,2021,13856.5,35.39010461362429
RO,2022,15723.5,38.30534157738052
RO,2023,18859.6,43.36228045368115
RO,2024,21991.1,48.02955449847772
SE,2000,32103.5,131.1396055620006
SE,2001,30574.2,120.73020486171438
SE,2002,31865.1,122.33458105384393
SE,2003,33135.5,124.24026546183985
SE,2004,34514.1,126.53976308234924
SE,2005,35055.3,125.27714046786888
SE,2006,36259.4,126.46716194063688
SE,2007,38255.2,129.6579866936454
SE,2008,38316.0,124.95108397902482
SE,2009,35477.0,115.24942500357342
SE,2010,40536.1,127.32146895494635
SE,2011,44159.2,135.39453996909415
SE,2012,47274.7,142.68247778636274
SE,2013,48471.1,144.2008591760478
SE,2014,47118.7,138.71455865944813
SE,2015,47033.4,136.49644780832097
SE,2016,47545.1,136.01685581299543
SE,2017,47695.3,133.44851513404925
SE,2018,46551.6,127.07454692861413
SE,2019,46425.3,123.79419764279238
SE,2020,48041.5,128.23856326042508
SE,2021,52062.8,132.97065914756243
SE,2022,50713.5,123.54742519696548
SE,2023,49443.2,113.68056082459057
SE,2024,51858.9,113.26217714353108
SI,2000,14589.9,59.598290877600036
SI,2001,15430.4,60.930959864794424
SI,2002,16119.3,61.884249928016125
SI,2003,16818.6,63.06068502652743
SI,2004,17718.2,64.96060538289221
SI,2005,18758.3,67.03654466053419
SI,2006,19769.9,68.95434411077396
SI,2007,20966.4,71.06122075465943
SI,2008,22476.1,73.29609193603089
SI,2009,22913.0,74.4344244188313
SI,2010,23818.0,74.81091539563285
SI,2011,24174.4,74.12004218891805
SI,2012,23934.9,72.23929157813404
SI,2013,24044.9,71.53324844705715
SI,2014,24350.1,71.68519876001308
SI,2015,24708.5,71.70696740341754
