geo,time,real_gdp_pc
MT,2022,31390
MT,2023,33380
MT,2024,34480
NL,2008,45960
NL,2009,44050
NL,2010,44400
NL,2011,44980
NL,2012,44370
NL,2013,44230
NL,2014,44780
NL,2015,45530
NL,2016,46380
NL,2017,47390
NL,2018,48180
NL,2019,48970
NL,2020,46810
NL,2021,49490
NL,2022,51480
NL,2023,50660
NL,2024,50870
NO,2008,61200
NO,2009,59450
NO,2010,59310
NO,2011,59350
NO,2012,60230
NO,2013,60260
NO,2014,60840
NO,2015,61450
NO,2016,61700
NO,2017,62850
NO,2018,63130
NO,2019,63630
NO,2020,62400
NO,2021,64640
NO,2022,66670
NO,2023,66140
NO,2024,66460
PL,2008,9570
PL,2009,9810
PL,2010,10150
PL,2011,10680
PL,2012,10840
PL,2013,10930
PL,2014,11360
PL,2015,11870
PL,2016,12240
PL,2017,12870
PL,2018,13680
PL,2019,14310
PL,2020,14310
PL,2021,15380
PL,2022,15840
PL,2023,15950
PL,2024,16510
PT,2008,19760
PT,2009,19120
PT,2010,19440
PT,2011,19110
PT,2012,18410
PT,2013,18330
PT,2014,18560
PT,2015,18920
PT,2016,19350
PT,2017,20020
PT,2018,20620
PT,2019,21150
PT,2020,19360
PT,2021,20390
PT,2022,21690
PT,2023,22130
PT,2024,22370
RO,2008,8740
RO,2009,8330
RO,2010,8050
RO,2011,8460
RO,2012,8660
RO,2013,8710
RO,2014,9100
RO,2015,9430
RO,2016,9760
RO,2017,10620
RO,2018,11260
RO,2019,11760
RO,2020,11390
RO,2021,12130
RO,2022,12690
RO,2023,12970
RO,2024,13090
RS,2008,5950
RS,2009,5790
RS,2010,5900
RS,2011,5950
RS,2012,5950
RS,2013,6010
RS,2014,5930
RS,2015,6040
RS,2016,6250
RS,2017,6430
RS,2018,6770
RS,2019,7130
RS,2020,7110
RS,2021,7740
RS,2022,8160
RS,2023,8510
RS,2024,8900
SE,2008,43330
SE,2009,41130
SE,2010,43130
SE,2011,44150
SE,2012,43650
SE,2013,43770
SE,2014,44330
SE,2015,45790
SE,2016,46220
SE,2017,46420
SE,2018,46700
SE,2019,47410
SE,2020,46180
SE,2021,48300
SE,2022,48390
SE,2023,47960
SE,2024,48770
SI,2008,21600
SI,2009,19770
SI,2010,19920
SI,2011,20010
SI,2012,19390
SI,2013,19210
SI,2014,19720
SI,2015,20170
SI,2016,20770
SI,2017,21830
SI,2018,22720
SI,2019,23330
SI,2020,22230
SI,2021,24040
SI,2022,24660
SI,2023,25120
SI,2024,25480
SK,2008,14030
SK,2009,13230
SK,2010,14100
SK,2011,14540
SK,2012,14750
SK,2013,14830
SK,2014,15220
SK,2015,16000
SK,2016,16280
SK,2017,16730
SK,2018,17380
SK,2019,17760
SK,2020,17270
SK,2021,18320
SK,2022,18360
SK,2023,18750
SK,2024,19110
TR,2008,5240
TR,2009,4920
TR,2010,5260
TR,2011,5750
TR,2012,5950
TR,2013,6360
TR,2014,6500
TR,2015,6690
TR,2016,6770
TR,2017,7170
TR,2018,7290
TR,2019,7270
TR,2020,7340
TR,2021,8130
TR,2022,8490
TR,2023,8920
TR,2024,9220
