geo,time,saving_rate
HU,2020,16.37
HU,2021,18.22
HU,2022,15.99
HU,2023,20.61
HU,2024,19.04
IE,2015,12.82
IE,2016,12.53
IE,2017,14.64
IE,2018,12.53
IE,2019,13.85
IE,2020,25.82
IE,2021,21.42
IE,2022,14.58
IE,2023,11.81
IE,2024,13.49
IS,2015,4.15
IS,2016,12.72
IS,2017,9.68
IS,2018,5.68
IS,2019,7.05
IS,2020,10.26
IS,2021,8.52
IS,2022,5.56
IS,2023,9.21
IS,2024,12.43
IT,2015,11.1
IT,2016,11.21
IT,2017,10.87
IT,2018,10.63
IT,2019,10.42
IT,2020,17.78
IT,2021,15.79
IT,2022,11.39
IT,2023,11.35
IT,2024,11.21
LT,2015,-0.99
LT,2016,1.89
LT,2017,-3.97
LT,2018,-2.65
LT,2019,1.73
LT,2020,11.69
LT,2021,10.22
LT,2022,4.81
LT,2023,5.66
LT,2024,7.63
LU,2015,13.37
LU,2016,12.11
LU,2017,13.3
LU,2018,12.41
LU,2019,14.69
LU,2020,25.85
LU,2021,17.98
LU,2022,13.39
LU,2023,12.96
LU,2024,12.17
LV,2015,3.53
LV,2016,4.61
LV,2017,5.64
LV,2018,6.78
LV,2019,8.63
LV,2020,14.08
LV,2021,10.44
LV,2022,3.84
LV,2023,1.75
LV,2024,4.94
MT,2015,8.03
MT,2016,11.14
MT,2017,12.02
MT,2018,11.06
MT,2019,12.99
MT,2020,24.19
MT,2021,22.77
MT,2022,19.14
MT,2023,14.71
MT,2024,18.82
NL,2015,14.05
NL,2016,15.14
NL,2017,12.99
NL,2018,13.71
NL,2019,15.99
NL,2020,22.11
NL,2021,19.14
NL,2022,14.57
NL,2023,15.12
NL,2024,16.66
NO,2015,15.24
NO,2016,12.79
NO,2017,12.58
NO,2018,12.16
NO,2019,13.29
NO,2020,18.93
NO,2021,18.89
NO,2022,11.41
PL,2015,6.49
PL,2016,8.05
PL,2017,5.49
PL,2018,4.98
PL,2019,6.18
PL,2020,12.79
PL,2021,5.1
PL,2022,1.02
PL,2023,4.72
PL,2024,7.77
PT,2015,7.47
PT,2016,7.3
PT,2017,6.54
PT,2018,6.94
PT,2019,7.0
PT,2020,12.05
PT,2021,10.95
PT,2022,7.33
PT,2023,8.92
PT,2024,12.53
RO,2015,-9.0
RO,2016,-6.2
RO,2017,-5.99
RO,2018,-12.68
RO,2019,-3.2
RO,2020,1.48
RO,2021,-1.82
RO,2022,-7.64
RO,2023,-2.91
RO,2024,-0.92
RS,2015,1.37
RS,2016,-0.88
RS,2017,-3.93
RS,2018,2.53
RS,2019,2.43
RS,2020,9.31
RS,2021,9.25
RS,2022,5.89
RS,2023,4.43
SE,2015,13.67
SE,2016,14.94
SE,2017,14.08
SE,2018,15.17
SE,2019,17.02
SE,2020,17.68
SE,2021,17.64
SE,2022,15.85
SE,2023,17.1
SE,2024,18.79
SI,2015,11.76
SI,2016,12.1
SI,2017,12.98
SI,2018,13.58
SI,2019,13.43
SI,2020,22.56
SI,2021,16.98
SI,2022,13.95
SI,2023,14.68
SI,2024,13.31
SK,2015,9.36
SK,2016,9.56
SK,2017,7.39
SK,2018,10.24
SK,2019,9.76
SK,2020,11.7
SK,2021,11.39
SK,2022,6.02
SK,2023,7.67
SK,2024,8.06
TR,2015,13.68
TR,2016,14.04
TR,2017,15.43
TR,2018,14.4
TR,2019,12.6
TR,2020,11.36
TR,2021,11.55
TR,2022,10.5
TR,2023,9.13
