geo,time,ltu_rate
ES,2010,7.3
ES,2011,8.9
ES,2012,11.0
ES,2013,13.0
ES,2014,12.9
ES,2015,11.4
ES,2016,9.5
ES,2017,7.7
ES,2018,6.4
ES,2019,5.3
ES,2020,5.0
ES,2021,6.2
ES,2022,5.1
ES,2023,4.3
ES,2024,3.8
EU27_2020,2009,3.1
EU27_2020,2010,4.0
EU27_2020,2011,4.3
EU27_2020,2012,4.9
EU27_2020,2013,5.4
EU27_2020,2014,5.4
EU27_2020,2015,4.9
EU27_2020,2016,4.3
EU27_2020,2017,3.7
EU27_2020,2018,3.1
EU27_2020,2019,2.7
EU27_2020,2020,2.4
EU27_2020,2021,2.8
EU27_2020,2022,2.4
EU27_2020,2023,2.1
EU27_2020,2024,1.9
FI,2009,1.7
FI,2010,2.5
FI,2011,2.2
FI,2012,2.1
FI,2013,2.1
FI,2014,2.4
FI,2015,2.9
FI,2016,2.9
FI,2017,2.6
FI,2018,2.0
FI,2019,1.5
FI,2020,1.5
FI,2021,1.8
FI,2022,1.5
FI,2023,1.6
FI,2024,1.8
FR,2003,2.3
FR,2004,2.3
FR,2005,2.4
FR,2006,2.5
FR,2007,2.1
FR,2008,1.8
FR,2009,2.0
FR,2010,2.4
FR,2011,2.5
FR,2012,2.6
FR,2013,2.9
FR,2014,3.1
FR,2015,3.1
FR,2016,3.1
FR,2017,2.9
FR,2018,2.5
FR,2019,2.3
FR,2020,1.9
FR,2021,2.3
FR,2022,2.0
FR,2023,1.8
FR,2024,1.7
HR,2009,5.0
HR,2010,6.5
HR,2011,8.3
HR,2012,10.3
HR,2013,11.0
HR,2014,10.2
HR,2015,10.2
HR,2016,6.7
HR,2017,4.5
HR,2018,3.4
HR,2019,2.4
HR,2020,2.1
HR,2021,2.7
HR,2022,2.4
HR,2023,2.1
HR,2024,1.8
HU,2009,4.0
HU,2010,5.3
HU,2011,5.1
HU,2012,4.8
HU,2013,4.8
HU,2014,3.6
HU,2015,3.0
HU,2016,2.3
HU,2017,1.6
HU,2018,1.4
HU,2019,1.1
HU,2020,1.1
HU,2021,1.3
HU,2022,1.2
HU,2023,1.4
HU,2024,1.5
IE,2009,3.5
IE,2010,6.9
IE,2011,8.8
IE,2012,9.2
IE,2013,7.9
IE,2014,6.6
IE,2015,5.3
IE,2016,4.2
IE,2017,3.0
IE,2018,2.1
IE,2019,1.6
IE,2020,1.4
IE,2021,1.8
IE,2022,1.3
IE,2023,1.1
IE,2024,1.0
IS,2009,0.4
IS,2010,1.3
IS,2011,1.7
IS,2012,1.5
IS,2013,1.0
IS,2014,0.6
IS,2015,0.5
IS,2017,0.3
IS,2018,0.3
IS,2020,0.5
IS,2021,1.1
IS,2022,0.5
IS,2023,0.3
IS,2024,0.4
IT,2009,3.7
IT,2010,4.3
IT,2011,4.6
IT,2012,6.0
IT,2013,7.4
IT,2014,8.2
IT,2015,7.4
IT,2016,7.1
IT,2017,6.9
IT,2018,6.5
IT,2019,5.9
IT,2020,5.1
IT,2021,5.4
IT,2022,4.6
IT,2023,4.2
IT,2024,3.3
LT,2009,3.3
LT,2010,7.4
LT,2011,8.0
LT,2012,6.6
LT,2013,5.1
LT,2014,4.8
LT,2015,3.9
LT,2016,3.0
LT,2017,2.7
LT,2018,2.0
LT,2019,1.9
LT,2020,2.5
LT,2021,2.6
LT,2022,2.3
LT,2023,2.3
LT,2024,2.3
LU,2009,1.2
LU,2010,1.3
LU,2011,1.4
LU,2012,1.6
LU,2013,1.8
LU,2014,1.6
LU,2015,1.9
LU,2016,2.2
LU,2017,2.1
LU,2018,1.4
LU,2019,1.3
LU,2020,1.7
LU,2021,1.8
LU,2022,1.3
LU,2023,1.7
LU,2024,1.6
LV,2009,5.0
LV,2010,9.7
LV,2011,9.8
LV,2012,8.6
LV,2013,6.3
LV,2014,5.1
LV,2015,4.9
LV,2016,4.4
LV,2017,3.6
LV,2018,3.4
LV,2019,2.7
LV,2020,2.4
LV,2021,2.3
LV,2022,2.0
LV,2023,1.8
LV,2024,2.2
ME,2011,15.7
ME,2012,15.8
ME,2013,16.0
ME,2014,14.0
ME,2015,13.5
ME,2016,13.4
ME,2017,12.5
ME,2018,11.4
ME,2019,12.0
ME,2020,13.4
MK,2009,26.3
MK,2010,26.6
MK,2011,25.9
MK,2012,25.5
MK,2013,23.9
MK,2014,23.3
MK,2015,21.3
MK,2016,19.1
MK,2017,17.4
MK,2018,15.5
MK,2019,12.4
MK,2020,12.4
MK,2021,13.1
MK,2022,12.0
MK,2023,9.4
MK,2024,8.0
MT,2009,2.9
MT,2010,4.1
MT,2011,3.9
MT,2012,3.8
MT,2013,3.5
MT,2014,2.9
MT,2015,2.7
MT,2016,2.4
MT,2017,2.0
MT,2018,1.9
MT,2019,1.0
MT,2020,1.3
MT,2021,1.0
MT,2022,1.2
MT,2023,0.8
MT,2024,0.7
NL,2009,0.9
NL,2010,1.1
NL,2011,1.4
NL,2012,1.7
NL,2013,2.3
NL,2014,2.7
NL,2015,2.7
NL,2016,2.3
NL,2017,1.7
NL,2018,1.2
NL,2019,0.9
NL,2020,0.7
NL,2021,0.8
NL,2022,0.7
NL,2023,0.5
NL,2024,0.5
NO,2009,0.7
NO,2010,1.0
NO,2011,1.1
NO,2012,0.8
NO,2013,1.0
NO,2014,1.1
NO,2015,1.3
NO,2016,1.6
NO,2017,1.5
NO,2018,1.3
NO,2019,1.1
NO,2020,1.2
NO,2021,1.0
NO,2022,0.6
NO,2023,0.5
NO,2024,0.6
PL,2009,2.6
PL,2010,3.1
PL,2011,3.7
PL,2012,4.2
PL,2013,4.5
PL,2014,3.9
PL,2015,3.0
PL,2016,2.2
PL,2017,1.5
PL,2018,1.0
PL,2019,0.7
PL,2020,0.6
PL,2021,0.9
PL,2022,0.9
PL,2023,0.8
PL,2024,0.8
PT,2009,4.8
PT,2010,6.3
PT,2011,6.6
PT,2012,8.1
PT,2013,9.7
PT,2014,8.7
PT,2015,7.4
PT,2016,6.4
PT,2017,4.6
PT,2018,3.2
PT,2019,2.8
PT,2020,2.3
PT,2021,2.9
PT,2022,2.8
PT,2023,2.5
PT,2024,2.4
RO,2009,2.6
RO,2010,3.0
RO,2011,3.6
RO,2012,3.7
RO,2013,3.9
RO,2014,3.4
RO,2015,3.6
RO,2016,3.4
RO,2017,2.4
RO,2018,2.2
RO,2019,2.0
RO,2020,1.8
RO,2021,2.0
RO,2022,2.2
RO,2023,2.2
RO,2024,1.8
RS,2011,16.0
RS,2012,17.0
RS,2013,15.6
RS,2014,12.5
RS,2015,10.7
RS,2016,9.2
RS,2017,7.3
RS,2018,6.6
RS,2019,5.4
RS,2020,4.4
RS,2021,5.0
RS,2022,3.9
RS,2023,3.8
RS,2024,3.4
SE,2005,1.1
SE,2006,1.0
SE,2007,0.8
SE,2008,0.8
SE,2009,1.1
SE,2010,1.5
SE,2011,1.4
SE,2012,1.4
SE,2013,1.4
SE,2014,1.3
SE,2015,1.3
SE,2016,1.2
SE,2017,1.1
SE,2018,0.9
SE,2019,0.8
SE,2020,1.0
SE,2021,1.8
SE,2022,1.9
SE,2023,1.6
SE,2024,1.7
SI,2009,1.8
SI,2010,3.2
SI,2011,3.7
SI,2012,4.3
SI,2013,5.2
SI,2014,5.3
SI,2015,4.7
SI,2016,4.3
SI,2017,3.1
SI,2018,2.2
SI,2019,1.9
SI,2020,1.9
SI,2021,1.9
SI,2022,1.6
SI,2023,1.4
SI,2024,1.1
SK,2009,7.6
SK,2010,10.7
SK,2011,10.7
SK,2012,10.9
SK,2013,11.6
SK,2014,10.7
SK,2015,8.8
SK,2016,6.8
SK,2017,5.9
SK,2018,4.7
SK,2019,3.9
SK,2020,3.7
SK,2021,3.9
SK,2022,4.1
SK,2023,3.8
SK,2024,3.5
TR,2009,2.9
TR,2010,2.8
TR,2011,2.1
TR,2012,1.8
TR,2013,1.9
TR,2014,2.0
TR,2015,2.2
TR,2016,2.2
TR,2017,2.4
TR,2018,2.4
TR,2019,3.2
TR,2020,3.3
TR,2021,3.7
TR,2022,2.5
TR,2023,2.0
TR,2024,1.7
