freq,unit,na_item,geo,time,value,geo_label
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2006,127.2,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2007,128.8,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2008,122.8,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2009,129.2,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2010,135.7,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2011,139.5,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2012,141.0,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2013,136.2,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2014,140.2,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2015,182.3,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2016,171.0,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2017,175.3,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2018,177.8,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2019,174.5,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2020,196.5,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2021,214.9,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2022,219.0,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2023,200.4,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE,2024,205.1,Ireland
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2000,125.0,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2001,121.8,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2002,117.4,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2003,115.9,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2004,112.7,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2005,111.4,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2006,110.2,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2007,109.6,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2008,110.6,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2009,110.6,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2010,108.7,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2011,108.2,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2012,108.0,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2013,106.9,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2014,105.3,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2015,103.8,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2016,105.5,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2017,103.9,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2018,102.7,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2019,102.5,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2020,104.8,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2021,102.8,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2022,103.2,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2023,101.2,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT,2024,99.0,Italy
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2000,38.0,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2001,42.0,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2002,43.0,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2003,47.2,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2004,46.7,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2005,48.8,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2006,51.2,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2007,54.2,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2008,55.7,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2009,53.4,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2010,56.9,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2011,61.3,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2012,62.6,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2013,63.9,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2014,64.4,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2015,62.4,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2016,60.7,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2017,64.7,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2018,66.1,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2019,68.2,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2020,70.0,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2021,73.3,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2022,70.7,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2023,70.0,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT,2024,70.2,Lithuania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2000,191.4,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2001,179.0,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2002,174.5,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2003,173.5,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2004,177.4,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2005,182.6,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2006,191.2,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2007,190.2,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2008,189.8,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2009,187.6,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2010,186.8,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2011,185.2,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2012,185.1,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2013,187.0,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2014,190.1,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2015,188.7,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2016,188.2,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2017,182.4,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2018,177.2,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2019,170.4,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2020,175.4,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2021,176.8,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2022,171.7,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2023,171.9,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU,2024,171.4,Luxembourg
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2000,31.8,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2001,33.1,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2002,34.2,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2003,35.6,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2004,38.2,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2005,40.2,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2006,39.9,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2007,42.7,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2008,45.3,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2009,46.7,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2010,49.6,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2011,48.7,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2012,51.3,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2013,50.8,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2014,52.2,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2015,53.4,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2016,54.2,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2017,55.7,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2018,56.1,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2019,55.1,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2020,56.4,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2021,60.9,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2022,59.5,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2023,60.4,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV,2024,60.0,Latvia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT,2000,73.0,Malta
