geo,time,unemployment_rate
EE,2015,6.4
EE,2016,6.8
EE,2017,5.8
EE,2018,5.4
EE,2019,4.5
EE,2020,6.9
EE,2021,6.2
EE,2022,5.6
EE,2023,6.4
EE,2024,7.6
EE,2025,7.5
EL,2009,9.8
EL,2010,12.9
EL,2011,18.1
EL,2012,24.8
EL,2013,27.8
EL,2014,26.6
EL,2015,25.0
EL,2016,23.9
EL,2017,21.8
EL,2018,19.7
EL,2019,17.9
EL,2020,17.6
EL,2021,14.7
EL,2022,12.5
EL,2023,11.1
EL,2024,10.1
EL,2025,8.9
ES,2009,17.9
ES,2010,19.9
ES,2011,21.4
ES,2012,24.8
ES,2013,26.1
ES,2014,24.5
ES,2015,22.1
ES,2016,19.6
ES,2017,17.2
ES,2018,15.3
ES,2019,14.1
ES,2020,15.5
ES,2021,14.9
ES,2022,13.0
ES,2023,12.2
ES,2024,11.4
ES,2025,10.5
FI,2009,8.3
FI,2010,8.6
FI,2011,8.0
FI,2012,7.9
FI,2013,8.3
FI,2014,8.7
FI,2015,9.4
FI,2016,8.9
FI,2017,8.7
FI,2018,7.5
FI,2019,6.8
FI,2020,7.7
FI,2021,7.7
FI,2022,6.8
FI,2023,7.2
FI,2024,8.4
FI,2025,9.7
FR,2003,8.5
FR,2004,8.9
FR,2005,8.9
FR,2006,8.9
FR,2007,8.0
FR,2008,7.4
FR,2009,9.1
FR,2010,9.3
FR,2011,9.2
FR,2012,9.8
FR,2013,10.3
FR,2014,10.3
FR,2015,10.3
FR,2016,10.1
FR,2017,9.4
FR,2018,9.0
FR,2019,8.4
FR,2020,8.0
FR,2021,7.9
FR,2022,7.3
FR,2023,7.3
FR,2024,7.4
FR,2025,7.7
HR,2009,9.1
HR,2010,11.7
HR,2011,13.6
HR,2012,16.1
HR,2013,17.3
HR,2014,17.3
HR,2015,16.2
HR,2016,13.0
HR,2017,11.1
HR,2018,8.3
HR,2019,6.6
HR,2020,7.4
HR,2021,7.5
HR,2022,6.8
HR,2023,6.1
HR,2024,5.0
HR,2025,4.9
HU,2009,9.7
HU,2010,10.8
HU,2011,10.7
HU,2012,10.7
HU,2013,9.8
HU,2014,7.5
HU,2015,6.6
HU,2016,5.0
HU,2017,4.0
HU,2018,3.6
HU,2019,3.3
HU,2020,4.1
HU,2021,4.0
HU,2022,3.6
HU,2023,4.1
HU,2024,4.5
HU,2025,4.4
IE,2009,12.6
IE,2010,14.6
IE,2011,15.4
IE,2012,15.5
IE,2013,13.8
IE,2014,11.9
IE,2015,9.9
IE,2016,8.4
IE,2017,6.7
IE,2018,5.8
IE,2019,5.0
IE,2020,5.9
IE,2021,6.2
IE,2022,4.5
IE,2023,4.3
IE,2024,4.3
IE,2025,4.7
IT,2009,7.9
IT,2010,8.5
IT,2011,8.5
IT,2012,10.9
IT,2013,12.4
IT,2014,12.9
IT,2015,12.0
IT,2016,11.7
IT,2017,11.3
IT,2018,10.6
IT,2019,9.9
IT,2020,9.3
IT,2021,9.5
IT,2022,8.1
IT,2023,7.7
IT,2024,6.5
IT,2025,6.1
LT,2009,13.8
LT,2010,17.8
LT,2011,15.4
LT,2012,13.4
LT,2013,11.8
LT,2014,10.7
LT,2015,9.1
LT,2016,7.9
LT,2017,7.1
LT,2018,6.2
LT,2019,6.3
LT,2020,8.5
LT,2021,7.1
LT,2022,6.0
LT,2023,6.9
LT,2024,7.1
LT,2025,6.9
LU,2009,5.1
LU,2010,4.4
LU,2011,4.9
LU,2012,5.1
LU,2013,5.9
LU,2014,5.9
LU,2015,6.7
LU,2016,6.3
LU,2017,5.5
LU,2018,5.6
LU,2019,5.6
LU,2020,6.8
LU,2021,5.3
LU,2022,4.6
LU,2023,5.2
LU,2024,6.4
LU,2025,6.5
LV,2009,17.7
LV,2010,19.7
LV,2011,16.3
LV,2012,15.1
LV,2013,11.9
LV,2014,10.9
LV,2015,9.9
LV,2016,9.7
LV,2017,8.7
LV,2018,7.4
LV,2019,6.3
LV,2020,8.1
LV,2021,7.6
LV,2022,6.9
LV,2023,6.5
LV,2024,6.9
LV,2025,6.9
MT,2009,6.9
MT,2010,6.9
MT,2011,6.4
MT,2012,6.2
MT,2013,6.1
MT,2014,5.7
MT,2015,5.4
MT,2016,4.7
MT,2017,4.0
MT,2018,4.0
MT,2019,4.1
MT,2020,4.9
MT,2021,3.8
MT,2022,3.5
MT,2023,3.5
MT,2024,3.2
MT,2025,3.1
NL,2009,5.4
NL,2010,6.1
NL,2011,6.0
NL,2012,6.8
NL,2013,8.2
NL,2014,8.4
NL,2015,7.9
NL,2016,7.0
NL,2017,5.9
NL,2018,4.9
NL,2019,4.4
NL,2020,4.9
NL,2021,4.2
NL,2022,3.5
NL,2023,3.6
NL,2024,3.7
NL,2025,3.9
PL,2009,8.5
PL,2010,10.0
PL,2011,10.0
PL,2012,10.4
PL,2013,10.6
PL,2014,9.2
PL,2015,7.7
PL,2016,6.3
PL,2017,5.0
PL,2018,3.9
PL,2019,3.3
PL,2020,3.2
PL,2021,3.4
PL,2022,2.9
PL,2023,2.8
PL,2024,2.9
PL,2025,3.1
PT,2009,11.2
PT,2010,12.6
PT,2011,13.5
PT,2012,16.6
PT,2013,17.2
PT,2014,14.6
PT,2015,13.0
PT,2016,11.5
PT,2017,9.2
PT,2018,7.2
PT,2019,6.6
PT,2020,7.1
PT,2021,6.7
PT,2022,6.2
PT,2023,6.5
PT,2024,6.5
PT,2025,6.0
RO,2009,8.4
RO,2010,9.0
RO,2011,9.1
RO,2012,8.7
RO,2013,9.0
RO,2014,8.6
RO,2015,8.4
RO,2016,7.2
RO,2017,6.1
RO,2018,5.3
RO,2019,4.9
RO,2020,6.1
RO,2021,5.6
RO,2022,5.6
RO,2023,5.6
RO,2024,5.4
RO,2025,6.1
SE,2005,7.9
SE,2006,7.2
SE,2007,6.3
SE,2008,6.3
SE,2009,8.5
SE,2010,8.7
SE,2011,7.9
SE,2012,8.1
SE,2013,8.1
SE,2014,8.0
SE,2015,7.5
SE,2016,7.1
SE,2017,6.8
SE,2018,6.5
SE,2019,6.9
SE,2020,8.5
SE,2021,8.9
SE,2022,7.5
SE,2023,7.7
SE,2024,8.4
SE,2025,8.8
SI,2009,5.9
SI,2010,7.3
SI,2011,8.2
SI,2012,8.9
SI,2013,10.1
SI,2014,9.7
SI,2015,9.0
SI,2016,8.0
SI,2017,6.6
SI,2018,5.1
SI,2019,4.4
SI,2020,5.0
SI,2021,4.8
SI,2022,4.0
SI,2023,3.7
SI,2024,3.7
SI,2025,3.9
SK,2009,12.0
SK,2010,14.3
SK,2011,13.5
SK,2012,13.9
SK,2013,14.1
SK,2014,13.1
SK,2015,11.5
SK,2016,9.6
SK,2017,8.1
SK,2018,6.5
SK,2019,5.7
SK,2020,6.7
SK,2021,6.8
SK,2022,6.1
SK,2023,5.8
SK,2024,5.3
SK,2025,5.4
