geo,time,debt_to_income
LT,2017,38.13
LT,2018,38.59
LT,2019,38.42
LT,2020,37.75
LT,2021,37.28
LT,2022,36.43
LT,2023,35.47
LT,2024,36.68
LU,2015,159.12
LU,2016,165.01
LU,2017,165.4
LU,2018,172.97
LU,2019,172.55
LU,2020,170.46
LU,2021,180.75
LU,2022,182.52
LU,2023,169.04
LU,2024,164.64
LV,2015,44.36
LV,2016,39.76
LV,2017,37.45
LV,2018,33.87
LV,2019,32.7
LV,2020,32.13
LV,2021,32.72
LV,2022,31.0
LV,2023,30.9
LV,2024,31.27
MT,2015,92.5
MT,2016,90.64
MT,2017,99.65
MT,2018,99.31
MT,2019,102.2
MT,2020,103.28
MT,2021,99.88
MT,2022,97.38
MT,2023,89.81
MT,2024,83.88
NL,2015,225.97
NL,2016,222.99
NL,2017,224.27
NL,2018,217.84
NL,2019,209.84
NL,2020,209.34
NL,2021,206.69
NL,2022,197.12
NL,2023,183.17
NL,2024,180.46
NO,2015,186.44
NO,2016,195.41
NO,2017,199.79
NO,2018,204.21
NO,2019,204.62
NO,2020,210.92
NO,2021,206.29
NO,2022,209.99
PL,2015,56.59
PL,2016,56.8
PL,2017,55.06
PL,2018,55.69
PL,2019,55.23
PL,2020,52.66
PL,2021,53.55
PL,2022,44.62
PL,2023,39.02
PL,2024,36.43
PT,2015,107.42
PT,2016,101.84
PT,2017,99.45
PT,2018,95.31
PT,2019,91.81
PT,2020,94.33
PT,2021,92.81
PT,2022,87.83
PT,2023,80.01
PT,2024,75.57
RO,2015,30.84
RO,2016,29.04
RO,2017,27.43
RO,2018,27.84
RO,2019,25.59
RO,2020,25.91
RO,2021,26.17
RO,2022,24.05
RO,2023,21.21
RO,2024,20.19
SE,2015,152.28
SE,2016,156.8
SE,2017,161.93
SE,2018,161.37
SE,2019,161.23
SE,2020,172.68
SE,2021,170.85
SE,2022,165.04
SE,2023,155.54
SE,2024,148.32
SI,2015,45.87
SI,2016,45.32
SI,2017,45.61
SI,2018,45.45
SI,2019,44.83
SI,2020,43.08
SI,2021,42.37
SI,2022,41.38
SI,2023,39.52
SI,2024,40.37
SK,2015,58.2
SK,2016,63.56
SK,2017,67.67
SK,2018,67.99
SK,2019,70.12
SK,2020,70.84
SK,2021,72.46
SK,2022,72.0
SK,2023,69.24
SK,2024,67.5
TR,2015,25.5
TR,2016,25.27
TR,2017,24.35
TR,2018,22.2
TR,2019,22.43
TR,2020,27.19
TR,2021,23.11
TR,2022,16.85
TR,2023,16.5
