geo,geo_label,time,great_difficulty,difficulty,subjective_poverty
CY,Cyprus,2011,26.3,27.4,53.7
CY,Cyprus,2012,22.3,27.3,49.6
CY,Cyprus,2013,32.1,27.3,59.400000000000006
CY,Cyprus,2014,32.1,28.3,60.400000000000006
CY,Cyprus,2015,32.0,26.8,58.8
CY,Cyprus,2016,29.4,30.4,59.8
CY,Cyprus,2017,22.2,21.4,43.599999999999994
CY,Cyprus,2018,20.7,25.7,46.4
CY,Cyprus,2019,17.0,19.3,36.3
CY,Cyprus,2020,11.1,15.6,26.7
CY,Cyprus,2021,10.9,15.2,26.1
CY,Cyprus,2022,9.7,19.9,29.599999999999998
CY,Cyprus,2023,7.6,16.6,24.200000000000003
CY,Cyprus,2024,6.8,14.0,20.8
CY,Cyprus,2025,4.9,13.3,18.200000000000003
CZ,Czechia,2005,10.6,19.5,30.1
CZ,Czechia,2006,9.0,20.0,29.0
CZ,Czechia,2007,7.4,19.0,26.4
CZ,Czechia,2008,7.8,20.4,28.2
CZ,Czechia,2009,7.9,20.0,27.9
CZ,Czechia,2010,8.4,19.1,27.5
CZ,Czechia,2011,8.7,19.6,28.3
CZ,Czechia,2012,9.3,21.8,31.1
CZ,Czechia,2013,9.1,22.6,31.700000000000003
CZ,Czechia,2014,9.3,21.4,30.7
CZ,Czechia,2015,7.8,18.8,26.6
CZ,Czechia,2016,7.1,16.1,23.200000000000003
CZ,Czechia,2017,7.4,14.6,22.0
CZ,Czechia,2018,4.5,11.7,16.2
CZ,Czechia,2019,3.3,9.8,13.100000000000001
CZ,Czechia,2020,3.0,9.1,12.1
CZ,Czechia,2021,3.2,8.2,11.399999999999999
CZ,Czechia,2022,3.1,9.2,12.299999999999999
CZ,Czechia,2023,3.7,9.7,13.399999999999999
CZ,Czechia,2024,3.7,10.5,14.2
CZ,Czechia,2025,4.0,9.8,13.8
DE,Germany,2005,3.3,8.2,11.5
DE,Germany,2006,2.7,5.4,8.100000000000001
DE,Germany,2007,2.0,4.1,6.1
DE,Germany,2008,2.1,4.6,6.699999999999999
DE,Germany,2009,3.3,7.0,10.3
DE,Germany,2010,2.8,6.1,8.899999999999999
DE,Germany,2011,3.1,6.3,9.4
DE,Germany,2012,3.0,6.2,9.2
DE,Germany,2013,3.0,6.1,9.1
DE,Germany,2014,2.8,5.7,8.5
DE,Germany,2015,2.6,5.0,7.6
DE,Germany,2016,2.3,4.6,6.8999999999999995
DE,Germany,2017,2.1,4.0,6.1
DE,Germany,2018,1.7,4.2,5.9
DE,Germany,2019,1.4,3.7,5.1
DE,Germany,2020,1.7,4.0,5.7
DE,Germany,2021,2.1,4.6,6.699999999999999
DE,Germany,2022,2.8,5.7,8.5
DE,Germany,2023,3.1,6.6,9.7
DE,Germany,2024,2.1,5.2,7.300000000000001
DE,Germany,2025,2.1,5.3,7.4
DK,Denmark,2003,3.2,4.9,8.100000000000001
DK,Denmark,2004,3.3,4.6,7.8999999999999995
DK,Denmark,2005,2.6,4.2,6.800000000000001
DK,Denmark,2006,2.8,5.4,8.2
DK,Denmark,2007,2.9,3.6,6.5
DK,Denmark,2008,3.0,4.9,7.9
DK,Denmark,2009,3.5,5.7,9.2
DK,Denmark,2010,3.7,5.0,8.7
DK,Denmark,2011,4.0,5.3,9.3
DK,Denmark,2012,3.0,7.6,10.6
DK,Denmark,2013,4.6,7.2,11.8
DK,Denmark,2014,4.4,7.4,11.8
DK,Denmark,2015,3.5,6.9,10.4
DK,Denmark,2016,3.2,6.8,10.0
DK,Denmark,2017,3.4,6.0,9.4
DK,Denmark,2018,3.5,5.8,9.3
DK,Denmark,2019,3.2,6.2,9.4
DK,Denmark,2020,3.2,5.3,8.5
DK,Denmark,2021,2.8,5.3,8.1
DK,Denmark,2022,3.2,7.1,10.3
DK,Denmark,2023,4.5,8.7,13.2
