geo,time,gdp_pps_pc
ES,2024,36400
EU27_2020,2015,27800
EU27_2020,2016,28500
EU27_2020,2017,29700
EU27_2020,2018,30600
EU27_2020,2019,31700
EU27_2020,2020,30500
EU27_2020,2021,33300
EU27_2020,2022,36100
EU27_2020,2023,38400
EU27_2020,2024,40000
FI,2015,30400
FI,2016,31000
FI,2017,32400
FI,2018,33400
FI,2019,34000
FI,2020,34000
FI,2021,36200
FI,2022,38400
FI,2023,39700
FI,2024,40800
FR,2015,29500
FR,2016,29900
FR,2017,30600
FR,2018,31500
FR,2019,33200
FR,2020,31600
FR,2021,33400
FR,2022,35100
FR,2023,38100
FR,2024,39300
HR,2015,17100
HR,2016,18000
HR,2017,19200
HR,2018,20200
HR,2019,21500
HR,2020,20200
HR,2021,23600
HR,2022,26000
HR,2023,29800
HR,2024,31100
HU,2015,19400
HU,2016,19600
HU,2017,20400
HU,2018,21900
HU,2019,23200
HU,2020,22700
HU,2021,24800
HU,2022,27300
HU,2023,29000
HU,2024,30400
IE,2015,51500
IE,2016,50800
IE,2017,55300
IE,2018,58700
IE,2019,60000
IE,2020,62500
IE,2021,74700
IE,2022,85700
IE,2023,83600
IE,2024,88500
IS,2015,36400
IS,2016,38400
IS,2017,39400
IS,2018,40200
IS,2019,40800
IS,2020,37400
IS,2021,41200
IS,2022,48800
IS,2023,52200
IS,2024,52400
IT,2015,26900
IT,2016,28100
IT,2017,28900
IT,2018,29600
IT,2019,30300
IT,2020,28400
IT,2021,31800
IT,2022,35300
IT,2023,37700
IT,2024,39100
JP,2015,30000
JP,2016,28800
JP,2017,29100
JP,2018,29200
JP,2019,28500
JP,2020,27900
JP,2021,29400
JP,2022,30400
JP,2023,33000
JP,2024,34000
LT,2015,20700
LT,2016,21400
LT,2017,23100
LT,2018,24700
LT,2019,26400
LT,2020,26400
LT,2021,29300
LT,2022,31300
LT,2023,32900
LT,2024,34900
LU,2015,77600
LU,2016,78500
LU,2017,78900
LU,2018,79000
LU,2019,78700
LU,2020,77900
LU,2021,87100
LU,2022,90400
LU,2023,95100
LU,2024,97700
LV,2015,17400
LV,2016,17900
LV,2017,19000
LV,2018,20200
LV,2019,20900
LV,2020,20900
LV,2021,23500
LV,2022,24900
LV,2023,26800
LV,2024,27500
ME,2015,11600
ME,2016,12500
ME,2017,13300
ME,2018,14300
ME,2019,15400
ME,2020,13200
ME,2021,15100
ME,2022,17300
ME,2023,19900
ME,2024,21400
MK,2015,10800
MK,2016,11400
MK,2017,11800
MK,2018,12500
MK,2019,13200
MK,2020,12700
MK,2021,14100
MK,2022,14900
MK,2023,15800
MK,2024,16900
MT,2015,27600
MT,2016,28500
MT,2017,31400
MT,2018,32600
MT,2019,33400
MT,2020,31900
MT,2021,36200
MT,2022,37400
MT,2023,41900
MT,2024,43900
NL,2015,36600
NL,2016,36900
NL,2017,38500
NL,2018,39900
NL,2019,40500
NL,2020,40000
NL,2021,43700
NL,2022,48500
NL,2023,50200
NL,2024,53400
NO,2015,45100
NO,2016,42500
NO,2017,45900
NO,2018,49200
NO,2019,47900
NO,2020,44600
NO,2021,58800
NO,2022,80200
NO,2023,67300
NO,2024,66300
PL,2015,19400
PL,2016,19700
PL,2017,20700
PL,2018,21900
PL,2019,23300
PL,2020,23900
PL,2021,26200
PL,2022,28100
PL,2023,29500
PL,2024,31500
PT,2015,21200
PT,2016,21900
PT,2017,22600
PT,2018,23500
PT,2019,24500
PT,2020,22800
PT,2021,24600
PT,2022,27800
PT,2023,31100
PT,2024,32900
RO,2015,15500
RO,2016,16600
RO,2017,18500
RO,2018,19900
RO,2019,21700
RO,2020,21800
RO,2021,23900
RO,2022,25900
RO,2023,28700
RO,2024,30800
RS,2015,11200
RS,2016,11400
RS,2017,11900
RS,2018,12500
RS,2019,13400
RS,2020,13400
RS,2021,14900
RS,2022,16100
RS,2023,18600
RS,2024,20600
SE,2015,35100
SE,2016,34900
SE,2017,35300
SE,2018,35900
SE,2019,37000
SE,2020,36700
SE,2021,39700
SE,2022,40900
SE,2023,42500
SE,2024,44800
SI,2015,22500
SI,2016,23300
SI,2017,24900
SI,2018,26200
SI,2019,27600
SI,2020,26700
SI,2021,29300
SI,2022,32300
SI,2023,35100
SI,2024,36100
SK,2015,21700
SK,2016,20700
SK,2017,20800
SK,2018,21400
SK,2019,22100
SK,2020,22600
SK,2021,24500
SK,2022,25500
SK,2023,28500
SK,2024,29800
TR,2015,18100
TR,2016,18000
TR,2017,18700
TR,2018,18600
TR,2019,18100
TR,2020,17900
TR,2021,19600
TR,2022,23400
TR,2023,25700
TR,2024,27600
UK,2015,30800
UK,2016,30800
UK,2017,31900
UK,2018,32300
UK,2019,32800
UK,2020,31100
UK,2021,33100
UK,2022,37200
UK,2023,38000
UK,2024,39400
US,2015,40800
US,2016,40200
US,2017,41200
US,2018,42600
US,2019,42400
US,2020,41100
US,2021,45500
US,2022,48100
US,2023,51500
US,2024,54000
